repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/chrislgarry/Apollo-11,2016-12-15T12:20:59Z,CLOSED,4,6,5,1521,1340,2016-07-25T00:12:35Z,MDExOlB1bGxSZXF1ZXN0Nzg2MTQyNjI=
https://github.com/chrislgarry/Apollo-11,2016-08-19T15:15:02Z,CLOSED,1,3,4,71,612,2016-08-19T09:45:57Z,MDExOlB1bGxSZXF1ZXN0ODE5NTM5NTQ=
https://github.com/chrislgarry/Apollo-11,2016-09-22T14:45:30Z,MERGED,1,1,3,75,138,2016-09-22T08:24:41Z,MDExOlB1bGxSZXF1ZXN0ODYyOTU4ODQ=
https://github.com/chrislgarry/Apollo-11,2016-09-23T01:02:32Z,MERGED,3,2,3,4,113,2016-09-22T17:54:25Z,MDExOlB1bGxSZXF1ZXN0ODYzODQzNTE=
https://github.com/chrislgarry/Apollo-11,2016-09-24T03:38:56Z,MERGED,2,0,3,4,168,2016-09-23T17:57:02Z,MDExOlB1bGxSZXF1ZXN0ODY1NTQ3MjU=
https://github.com/chrislgarry/Apollo-11,2016-11-23T17:03:04Z,MERGED,4,2,4,4,0,2016-11-22T18:01:04Z,MDExOlB1bGxSZXF1ZXN0OTQ4NjY3NzU=
https://github.com/chrislgarry/Apollo-11,2017-02-14T08:19:52Z,CLOSED,1,2,2,16,497,2017-02-13T12:27:43Z,MDExOlB1bGxSZXF1ZXN0MTA1ODgzODE1
https://github.com/chrislgarry/Apollo-11,2017-03-06T01:13:25Z,MERGED,1,4,4,264,399,2017-02-14T00:19:17Z,MDExOlB1bGxSZXF1ZXN0MTA2MDA4ODEy
https://github.com/chrislgarry/Apollo-11,2017-02-14T10:21:56Z,MERGED,2,0,2,2,179,2017-02-14T08:40:37Z,MDExOlB1bGxSZXF1ZXN0MTA2MDU3OTg5
https://github.com/chrislgarry/Apollo-11,2017-02-14T10:14:39Z,MERGED,2,0,2,5,260,2017-02-14T08:46:55Z,MDExOlB1bGxSZXF1ZXN0MTA2MDU4ODMy
https://github.com/chrislgarry/Apollo-11,2017-02-16T20:35:41Z,MERGED,1,0,2,1,98,2017-02-14T10:41:40Z,MDExOlB1bGxSZXF1ZXN0MTA2MDc4MDE1
https://github.com/chrislgarry/Apollo-11,2017-02-22T04:33:45Z,MERGED,1,2,2,76,97,2017-02-14T11:12:17Z,MDExOlB1bGxSZXF1ZXN0MTA2MDgzMTc5
https://github.com/chrislgarry/Apollo-11,2017-04-24T19:37:40Z,MERGED,1,2,2,21,1182,2017-04-24T18:26:02Z,MDExOlB1bGxSZXF1ZXN0MTE3MzI3ODIy
https://github.com/chrislgarry/Apollo-11,2017-04-30T05:08:57Z,MERGED,3,0,2,23,159,2017-04-28T14:33:37Z,MDExOlB1bGxSZXF1ZXN0MTE4MTY1NzMz
https://github.com/chrislgarry/Apollo-11,2017-05-01T06:41:26Z,MERGED,2,4,3,24,369,2017-04-30T12:51:16Z,MDExOlB1bGxSZXF1ZXN0MTE4MzExMTc2
https://github.com/chrislgarry/Apollo-11,2017-05-01T00:58:00Z,MERGED,2,1,2,115,91,2017-04-30T23:35:28Z,MDExOlB1bGxSZXF1ZXN0MTE4MzMxNzEz
https://github.com/chrislgarry/Apollo-11,2017-05-02T01:05:16Z,MERGED,2,1,2,10,66,2017-05-01T02:53:05Z,MDExOlB1bGxSZXF1ZXN0MTE4MzM5OTA1
https://github.com/chrislgarry/Apollo-11,2017-05-03T23:06:03Z,MERGED,2,1,2,32,201,2017-05-01T20:08:57Z,MDExOlB1bGxSZXF1ZXN0MTE4NDMxNzkw
