repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/tonsky/FiraCode,2019-01-02T16:22:36Z,CLOSED,1,3,3,2,0,2017-02-09T11:15:21Z,MDExOlB1bGxSZXF1ZXN0MTA1NDA2NTUw
https://github.com/tonsky/FiraCode,2018-03-15T17:00:23Z,MERGED,6,22,6,25,8,2017-03-01T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTA4NTAxODU2
https://github.com/tonsky/FiraCode,2017-09-28T07:55:04Z,MERGED,1,1,3,4,165,2017-09-27T15:47:36Z,MDExOlB1bGxSZXF1ZXN0MTQzNDMwNTM1
https://github.com/tonsky/FiraCode,2017-11-02T13:55:18Z,CLOSED,1,5,3,32,60,2017-10-29T15:42:02Z,MDExOlB1bGxSZXF1ZXN0MTQ5MzkxMDgy
https://github.com/tonsky/FiraCode,2019-10-20T17:41:48Z,CLOSED,1,8,8,2,220,2019-02-15T00:16:36Z,MDExOlB1bGxSZXF1ZXN0MjUzMjY4MjY1
https://github.com/tonsky/FiraCode,2019-04-06T15:04:06Z,MERGED,1,2,4,516,287,2019-04-05T21:40:13Z,MDExOlB1bGxSZXF1ZXN0MjY3OTczMjk5
https://github.com/tonsky/FiraCode,2019-12-05T12:08:09Z,CLOSED,1,3,5,4,42,2019-10-29T16:09:50Z,MDExOlB1bGxSZXF1ZXN0MzMzNzE5NDQ5
https://github.com/tonsky/FiraCode,2019-01-02T16:22:36Z,CLOSED,1,3,3,2,0,2017-02-09T11:15:21Z,MDExOlB1bGxSZXF1ZXN0MTA1NDA2NTUw
https://github.com/tonsky/FiraCode,2018-03-15T17:00:23Z,MERGED,6,22,6,25,8,2017-03-01T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTA4NTAxODU2
https://github.com/tonsky/FiraCode,2017-09-28T07:55:04Z,MERGED,1,1,3,4,165,2017-09-27T15:47:36Z,MDExOlB1bGxSZXF1ZXN0MTQzNDMwNTM1
https://github.com/tonsky/FiraCode,2017-11-02T13:55:18Z,CLOSED,1,5,3,32,60,2017-10-29T15:42:02Z,MDExOlB1bGxSZXF1ZXN0MTQ5MzkxMDgy
https://github.com/tonsky/FiraCode,2019-10-20T17:41:48Z,CLOSED,1,8,8,2,220,2019-02-15T00:16:36Z,MDExOlB1bGxSZXF1ZXN0MjUzMjY4MjY1
https://github.com/tonsky/FiraCode,2019-04-06T15:04:06Z,MERGED,1,2,4,516,287,2019-04-05T21:40:13Z,MDExOlB1bGxSZXF1ZXN0MjY3OTczMjk5
https://github.com/tonsky/FiraCode,2019-12-05T12:08:09Z,CLOSED,1,3,5,4,42,2019-10-29T16:09:50Z,MDExOlB1bGxSZXF1ZXN0MzMzNzE5NDQ5
https://github.com/tonsky/FiraCode,2019-01-02T16:22:36Z,CLOSED,1,3,3,2,0,2017-02-09T11:15:21Z,MDExOlB1bGxSZXF1ZXN0MTA1NDA2NTUw
https://github.com/tonsky/FiraCode,2018-03-15T17:00:23Z,MERGED,6,22,6,25,8,2017-03-01T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTA4NTAxODU2
https://github.com/tonsky/FiraCode,2017-09-28T07:55:04Z,MERGED,1,1,3,4,165,2017-09-27T15:47:36Z,MDExOlB1bGxSZXF1ZXN0MTQzNDMwNTM1
https://github.com/tonsky/FiraCode,2017-11-02T13:55:18Z,CLOSED,1,5,3,32,60,2017-10-29T15:42:02Z,MDExOlB1bGxSZXF1ZXN0MTQ5MzkxMDgy
https://github.com/tonsky/FiraCode,2019-10-20T17:41:48Z,CLOSED,1,8,8,2,220,2019-02-15T00:16:36Z,MDExOlB1bGxSZXF1ZXN0MjUzMjY4MjY1
https://github.com/tonsky/FiraCode,2019-04-06T15:04:06Z,MERGED,1,2,4,516,287,2019-04-05T21:40:13Z,MDExOlB1bGxSZXF1ZXN0MjY3OTczMjk5
https://github.com/tonsky/FiraCode,2019-12-05T12:08:09Z,CLOSED,1,3,5,4,42,2019-10-29T16:09:50Z,MDExOlB1bGxSZXF1ZXN0MzMzNzE5NDQ5
https://github.com/tonsky/FiraCode,2019-01-02T16:22:36Z,CLOSED,1,3,3,2,0,2017-02-09T11:15:21Z,MDExOlB1bGxSZXF1ZXN0MTA1NDA2NTUw
https://github.com/tonsky/FiraCode,2018-03-15T17:00:23Z,MERGED,6,22,6,25,8,2017-03-01T09:51:53Z,MDExOlB1bGxSZXF1ZXN0MTA4NTAxODU2
https://github.com/tonsky/FiraCode,2017-09-28T07:55:04Z,MERGED,1,1,3,4,165,2017-09-27T15:47:36Z,MDExOlB1bGxSZXF1ZXN0MTQzNDMwNTM1
https://github.com/tonsky/FiraCode,2017-11-02T13:55:18Z,CLOSED,1,5,3,32,60,2017-10-29T15:42:02Z,MDExOlB1bGxSZXF1ZXN0MTQ5MzkxMDgy
https://github.com/tonsky/FiraCode,2019-10-20T17:41:48Z,CLOSED,1,8,8,2,220,2019-02-15T00:16:36Z,MDExOlB1bGxSZXF1ZXN0MjUzMjY4MjY1
https://github.com/tonsky/FiraCode,2019-04-06T15:04:06Z,MERGED,1,2,4,516,287,2019-04-05T21:40:13Z,MDExOlB1bGxSZXF1ZXN0MjY3OTczMjk5
https://github.com/tonsky/FiraCode,2019-12-05T12:08:09Z,CLOSED,1,3,5,4,42,2019-10-29T16:09:50Z,MDExOlB1bGxSZXF1ZXN0MzMzNzE5NDQ5
