repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:48:51Z,CLOSED,1,2,3,1,191,2015-09-29T07:54:18Z,MDExOlB1bGxSZXF1ZXN0NDYyNDYxMzI=
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:45:42Z,CLOSED,1,2,3,2,99,2015-12-19T20:11:14Z,MDExOlB1bGxSZXF1ZXN0NTQxODU2MzI=
https://github.com/FortAwesome/Font-Awesome,2016-12-19T20:32:15Z,MERGED,6,2,3,10,500,2016-12-18T18:24:28Z,MDExOlB1bGxSZXF1ZXN0OTg0ODI3MDg=
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:29:50Z,CLOSED,1,2,3,2,76,2017-02-01T12:18:29Z,MDExOlB1bGxSZXF1ZXN0MTA0MTI1NDMw
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:30:14Z,CLOSED,1,2,3,246,234,2017-03-17T23:22:10Z,MDExOlB1bGxSZXF1ZXN0MTExMzgyODc3
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:30:29Z,CLOSED,1,2,3,6,202,2017-04-13T22:05:19Z,MDExOlB1bGxSZXF1ZXN0MTE1ODUyNDkz
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:12:49Z,CLOSED,1,4,4,30,64,2017-06-30T10:54:26Z,MDExOlB1bGxSZXF1ZXN0MTI4MzQ1MTIz
https://github.com/FortAwesome/Font-Awesome,2017-12-02T00:16:37Z,MERGED,4,1,3,3,92,2017-12-01T21:36:48Z,MDExOlB1bGxSZXF1ZXN0MTU1OTYzMDg2
https://github.com/FortAwesome/Font-Awesome,2018-04-11T03:11:56Z,MERGED,3,0,2,108,0,2018-04-02T22:06:01Z,MDExOlB1bGxSZXF1ZXN0MTc4OTQ1MjA2
https://github.com/FortAwesome/Font-Awesome,2018-05-03T11:41:40Z,MERGED,1,1,3,5,2,2018-05-02T22:56:41Z,MDExOlB1bGxSZXF1ZXN0MTg1NTgyMDYw
https://github.com/FortAwesome/Font-Awesome,2018-11-16T22:44:14Z,MERGED,1,2,4,2,306,2018-05-07T08:11:20Z,MDExOlB1bGxSZXF1ZXN0MTg2MjgzMjk0
https://github.com/FortAwesome/Font-Awesome,2018-06-28T01:02:11Z,MERGED,1,0,2,46,0,2018-06-26T16:39:24Z,MDExOlB1bGxSZXF1ZXN0MTk3NDg0OTIz
https://github.com/FortAwesome/Font-Awesome,2019-04-18T17:07:26Z,MERGED,1,0,2,113,306,2019-04-18T15:58:57Z,MDExOlB1bGxSZXF1ZXN0MjcxNzQ2NjEz
https://github.com/FortAwesome/Font-Awesome,2019-05-17T19:30:44Z,MERGED,1,2,3,4,306,2019-05-08T06:00:05Z,MDExOlB1bGxSZXF1ZXN0Mjc2ODYzNjY2
https://github.com/FortAwesome/Font-Awesome,2019-07-23T23:27:08Z,MERGED,1,0,2,5,105,2019-07-18T15:11:11Z,MDExOlB1bGxSZXF1ZXN0Mjk4OTYxMzky
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:48:51Z,CLOSED,1,2,3,1,191,2015-09-29T07:54:18Z,MDExOlB1bGxSZXF1ZXN0NDYyNDYxMzI=
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:45:42Z,CLOSED,1,2,3,2,99,2015-12-19T20:11:14Z,MDExOlB1bGxSZXF1ZXN0NTQxODU2MzI=
https://github.com/FortAwesome/Font-Awesome,2016-12-19T20:32:15Z,MERGED,6,2,3,10,500,2016-12-18T18:24:28Z,MDExOlB1bGxSZXF1ZXN0OTg0ODI3MDg=
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:29:50Z,CLOSED,1,2,3,2,76,2017-02-01T12:18:29Z,MDExOlB1bGxSZXF1ZXN0MTA0MTI1NDMw
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:30:14Z,CLOSED,1,2,3,246,234,2017-03-17T23:22:10Z,MDExOlB1bGxSZXF1ZXN0MTExMzgyODc3
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:30:29Z,CLOSED,1,2,3,6,202,2017-04-13T22:05:19Z,MDExOlB1bGxSZXF1ZXN0MTE1ODUyNDkz
https://github.com/FortAwesome/Font-Awesome,2018-01-31T23:12:49Z,CLOSED,1,4,4,30,64,2017-06-30T10:54:26Z,MDExOlB1bGxSZXF1ZXN0MTI4MzQ1MTIz
