repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/thedaviddias/Front-End-Checklist,2017-10-19T14:03:38Z,MERGED,1,1,2,78,99,2017-10-19T11:52:58Z,MDExOlB1bGxSZXF1ZXN0MTQ3NTM1ODgx
https://github.com/thedaviddias/Front-End-Checklist,2017-10-20T16:37:07Z,CLOSED,1,3,2,1,0,2017-10-20T13:17:11Z,MDExOlB1bGxSZXF1ZXN0MTQ3Nzk3ODU5
https://github.com/thedaviddias/Front-End-Checklist,2017-10-20T16:32:49Z,MERGED,3,1,2,23,222,2017-10-20T14:54:15Z,MDExOlB1bGxSZXF1ZXN0MTQ3ODIwMzcz
https://github.com/thedaviddias/Front-End-Checklist,2017-10-23T06:48:29Z,CLOSED,1,1,2,2,0,2017-10-20T20:58:37Z,MDExOlB1bGxSZXF1ZXN0MTQ3ODk0MTI5
https://github.com/thedaviddias/Front-End-Checklist,2018-07-22T04:45:54Z,CLOSED,1,14,8,2,1027,2017-10-21T15:09:57Z,MDExOlB1bGxSZXF1ZXN0MTQ3OTQ3ODk1
https://github.com/thedaviddias/Front-End-Checklist,2017-10-26T06:31:19Z,MERGED,1,0,2,5,52,2017-10-25T20:11:27Z,MDExOlB1bGxSZXF1ZXN0MTQ4NzY4Njc0
https://github.com/thedaviddias/Front-End-Checklist,2017-10-26T11:36:16Z,MERGED,1,1,2,4,160,2017-10-26T10:27:43Z,MDExOlB1bGxSZXF1ZXN0MTQ4ODk1MzAz
https://github.com/thedaviddias/Front-End-Checklist,2017-10-27T02:20:50Z,MERGED,2,3,2,4,349,2017-10-26T18:33:37Z,MDExOlB1bGxSZXF1ZXN0MTQ5MDEyMDM0
https://github.com/thedaviddias/Front-End-Checklist,2017-10-27T02:19:04Z,MERGED,1,1,2,2,0,2017-10-26T21:21:54Z,MDExOlB1bGxSZXF1ZXN0MTQ5MDQ4OTUz
https://github.com/thedaviddias/Front-End-Checklist,2017-11-30T12:23:51Z,CLOSED,1,5,4,33,47,2017-10-27T14:13:44Z,MDExOlB1bGxSZXF1ZXN0MTQ5MjAwMjc3
https://github.com/thedaviddias/Front-End-Checklist,2017-10-28T17:27:39Z,MERGED,1,3,3,6,255,2017-10-27T21:32:16Z,MDExOlB1bGxSZXF1ZXN0MTQ5MjkwNDc0
https://github.com/thedaviddias/Front-End-Checklist,2017-10-29T06:19:28Z,MERGED,1,1,2,1,89,2017-10-29T03:07:30Z,MDExOlB1bGxSZXF1ZXN0MTQ5MzY1NjAz
https://github.com/thedaviddias/Front-End-Checklist,2017-10-30T06:20:11Z,MERGED,2,1,2,4,140,2017-10-29T20:33:36Z,MDExOlB1bGxSZXF1ZXN0MTQ5NDA1MzU4
https://github.com/thedaviddias/Front-End-Checklist,2017-11-09T01:06:19Z,MERGED,4,1,2,104,1262,2017-11-06T19:10:25Z,MDExOlB1bGxSZXF1ZXN0MTUwOTM0MTcy
https://github.com/thedaviddias/Front-End-Checklist,2017-11-16T18:58:56Z,MERGED,2,1,2,12,287,2017-11-16T15:00:00Z,MDExOlB1bGxSZXF1ZXN0MTUzMDYzMjY3
https://github.com/thedaviddias/Front-End-Checklist,2017-11-29T11:49:23Z,MERGED,1,1,2,1,851,2017-11-29T09:58:01Z,MDExOlB1bGxSZXF1ZXN0MTU1Mjk0NDM3
https://github.com/thedaviddias/Front-End-Checklist,2018-07-22T04:45:55Z,CLOSED,1,4,2,6,140,2017-12-04T18:45:31Z,MDExOlB1bGxSZXF1ZXN0MTU2Mjc1Mjcy
https://github.com/thedaviddias/Front-End-Checklist,2017-12-10T12:10:51Z,MERGED,2,2,2,79,771,2017-12-07T14:13:48Z,MDExOlB1bGxSZXF1ZXN0MTU3MDA0NjUx
https://github.com/thedaviddias/Front-End-Checklist,2017-12-10T12:09:49Z,CLOSED,3,0,2,2,2626,2017-12-08T23:56:23Z,MDExOlB1bGxSZXF1ZXN0MTU3MzU4NTM5
https://github.com/thedaviddias/Front-End-Checklist,2018-07-22T04:45:58Z,CLOSED,1,5,4,5,856,2017-12-09T05:56:23Z,MDExOlB1bGxSZXF1ZXN0MTU3Mzc1MzQx
https://github.com/thedaviddias/Front-End-Checklist,2018-03-28T15:29:02Z,MERGED,1,1,2,2,941,2018-03-24T18:53:01Z,MDExOlB1bGxSZXF1ZXN0MTc3MjUyODA2
https://github.com/thedaviddias/Front-End-Checklist,2018-07-23T18:40:13Z,MERGED,1,4,2,3,792,2018-05-18T16:57:23Z,MDExOlB1bGxSZXF1ZXN0MTg5MDgyMjk1
https://github.com/thedaviddias/Front-End-Checklist,2018-08-06T11:57:33Z,MERGED,1,0,2,2,1160,2018-08-04T16:42:45Z,MDExOlB1bGxSZXF1ZXN0MjA2MjAwMDEz
https://github.com/thedaviddias/Front-End-Checklist,2018-08-20T02:03:54Z,MERGED,1,0,2,10,824,2018-08-15T18:16:20Z,MDExOlB1bGxSZXF1ZXN0MjA4NjM5MjM4
https://github.com/thedaviddias/Front-End-Checklist,2020-04-17T18:37:07Z,CLOSED,2,5,3,34,711,2018-10-04T21:22:09Z,MDExOlB1bGxSZXF1ZXN0MjIwNTIxNjc3
https://github.com/thedaviddias/Front-End-Checklist,2019-01-10T20:40:47Z,CLOSED,1,0,1,2,830,2018-11-30T13:03:15Z,MDExOlB1bGxSZXF1ZXN0MjM0OTgwNzY1
https://github.com/thedaviddias/Front-End-Checklist,2019-01-10T20:39:55Z,MERGED,1,0,2,131,571,2018-12-13T22:03:56Z,MDExOlB1bGxSZXF1ZXN0MjM4NTQ3MTQ1
https://github.com/thedaviddias/Front-End-Checklist,2019-02-14T15:32:42Z,CLOSED,1,0,2,194,802,2019-02-12T06:40:48Z,MDExOlB1bGxSZXF1ZXN0MjUyMTk1MTY3
https://github.com/thedaviddias/Front-End-Checklist,2019-05-24T11:11:16Z,MERGED,1,0,2,2,915,2019-05-13T12:31:19Z,MDExOlB1bGxSZXF1ZXN0Mjc4MjUyODI0
