repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/Snailclimb/JavaGuide,2018-12-07T12:31:27Z,MERGED,1,1,2,2,4,2018-12-07T08:50:19Z,MDExOlB1bGxSZXF1ZXN0MjM2NzkzNDk0
https://github.com/Snailclimb/JavaGuide,2019-04-17T01:33:22Z,MERGED,1,1,3,19,57,2019-04-12T05:46:54Z,MDExOlB1bGxSZXF1ZXN0MjY5ODc4NzI3
https://github.com/Snailclimb/JavaGuide,2019-04-22T14:48:04Z,MERGED,1,1,2,28,54,2019-04-22T08:02:29Z,MDExOlB1bGxSZXF1ZXN0MjcyMzA4MjEx
https://github.com/Snailclimb/JavaGuide,2019-04-23T12:01:30Z,MERGED,1,0,2,82,165,2019-04-23T03:39:37Z,MDExOlB1bGxSZXF1ZXN0MjcyNTcyNjE5
https://github.com/Snailclimb/JavaGuide,2019-04-24T05:28:48Z,MERGED,1,1,2,56,68,2019-04-24T04:00:48Z,MDExOlB1bGxSZXF1ZXN0MjcyOTY2OTIw
https://github.com/Snailclimb/JavaGuide,2019-05-20T08:52:36Z,MERGED,1,0,2,208,146,2019-04-27T10:12:36Z,MDExOlB1bGxSZXF1ZXN0Mjc0MDk2OTM5
https://github.com/Snailclimb/JavaGuide,2019-05-04T11:47:00Z,CLOSED,1,1,4,0,18,2019-05-04T05:52:00Z,MDExOlB1bGxSZXF1ZXN0Mjc1ODk4NjQ0
https://github.com/Snailclimb/JavaGuide,2019-05-07T08:39:02Z,MERGED,1,0,2,2,0,2019-05-07T01:31:37Z,MDExOlB1bGxSZXF1ZXN0Mjc2NDA5NzM5
https://github.com/Snailclimb/JavaGuide,2019-05-11T03:06:21Z,MERGED,1,1,2,24,24,2019-05-09T04:52:29Z,MDExOlB1bGxSZXF1ZXN0Mjc3MjQ1NTI0
https://github.com/Snailclimb/JavaGuide,2019-05-20T08:45:49Z,MERGED,1,1,2,2,8,2019-05-13T10:45:12Z,MDExOlB1bGxSZXF1ZXN0Mjc4MjE4NDM1
https://github.com/Snailclimb/JavaGuide,2019-05-24T11:47:02Z,MERGED,1,0,2,2,16,2019-05-23T11:41:18Z,MDExOlB1bGxSZXF1ZXN0MjgxNTY2Mjgw
https://github.com/Snailclimb/JavaGuide,2019-05-27T13:20:26Z,MERGED,1,0,2,6,11,2019-05-26T15:42:55Z,MDExOlB1bGxSZXF1ZXN0MjgyMzA0OTcx
https://github.com/Snailclimb/JavaGuide,2019-06-17T13:10:48Z,MERGED,1,0,2,12,0,2019-06-12T09:06:53Z,MDExOlB1bGxSZXF1ZXN0Mjg3NDEyMjQ2
https://github.com/Snailclimb/JavaGuide,2019-10-11T11:40:35Z,CLOSED,1,1,2,3,216,2019-06-17T12:42:05Z,MDExOlB1bGxSZXF1ZXN0Mjg4ODI5Mjk5
https://github.com/Snailclimb/JavaGuide,2019-06-30T00:55:42Z,CLOSED,1,0,2,23,0,2019-06-24T07:00:19Z,MDExOlB1bGxSZXF1ZXN0MjkwOTk3NTA1
https://github.com/Snailclimb/JavaGuide,2019-07-02T12:02:27Z,MERGED,1,0,2,2,6,2019-06-30T05:31:30Z,MDExOlB1bGxSZXF1ZXN0MjkzMDgwNDQw
https://github.com/Snailclimb/JavaGuide,2019-07-06T10:59:03Z,MERGED,1,0,2,2,0,2019-07-03T01:44:58Z,MDExOlB1bGxSZXF1ZXN0MjkzOTcxODgy
