repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/getify/You-Dont-Know-JS,2017-03-13T01:46:19Z,MERGED,3,14,5,16668,118,2016-11-16T16:45:32Z,MDExOlB1bGxSZXF1ZXN0OTQwMDM4NTM=
https://github.com/getify/You-Dont-Know-JS,2017-08-15T15:47:52Z,CLOSED,1,1,4,4,118,2016-12-02T08:56:34Z,MDExOlB1bGxSZXF1ZXN0OTYyNDI2Mjk=
https://github.com/getify/You-Dont-Know-JS,2017-08-15T15:46:02Z,CLOSED,1,0,3,2,50,2016-12-30T17:18:27Z,MDExOlB1bGxSZXF1ZXN0OTk3Njg2MTE=
https://github.com/getify/You-Dont-Know-JS,2017-04-06T09:02:57Z,CLOSED,2,2,3,35,136,2017-03-13T07:11:39Z,MDExOlB1bGxSZXF1ZXN0MTEwMzQ5ODA0
https://github.com/getify/You-Dont-Know-JS,2017-08-15T15:40:05Z,MERGED,1,0,3,12,68,2017-03-16T00:13:46Z,MDExOlB1bGxSZXF1ZXN0MTEwOTY5MzUx
https://github.com/getify/You-Dont-Know-JS,2017-08-15T15:34:27Z,CLOSED,1,4,4,7,471,2017-04-27T03:26:11Z,MDExOlB1bGxSZXF1ZXN0MTE3ODUyMTIz
https://github.com/getify/You-Dont-Know-JS,2017-05-16T08:43:40Z,MERGED,3,1,2,30,0,2017-05-12T09:06:55Z,MDExOlB1bGxSZXF1ZXN0MTIwMjc4OTIx
https://github.com/getify/You-Dont-Know-JS,2017-06-24T14:42:58Z,CLOSED,2,0,2,2,203,2017-05-15T09:13:22Z,MDExOlB1bGxSZXF1ZXN0MTIwNTU2MTEx
https://github.com/getify/You-Dont-Know-JS,2017-05-25T19:14:04Z,CLOSED,1,1,3,2,9,2017-05-24T07:58:31Z,MDExOlB1bGxSZXF1ZXN0MTIyMTY2MzI0
https://github.com/getify/You-Dont-Know-JS,2017-07-15T14:56:56Z,MERGED,3,2,2,2,2,2017-06-29T11:00:08Z,MDExOlB1bGxSZXF1ZXN0MTI4MTIzNzYw
https://github.com/getify/You-Dont-Know-JS,2017-07-26T15:55:26Z,CLOSED,8,1,2,2,137,2017-06-30T07:40:39Z,MDExOlB1bGxSZXF1ZXN0MTI4MzEyMzE4
https://github.com/getify/You-Dont-Know-JS,2017-07-23T13:51:10Z,MERGED,6,2,2,16,26,2017-07-23T12:32:02Z,MDExOlB1bGxSZXF1ZXN0MTMxOTMyNjg0
https://github.com/getify/You-Dont-Know-JS,2017-07-26T15:53:12Z,MERGED,3,0,2,4,338,2017-07-24T01:51:32Z,MDExOlB1bGxSZXF1ZXN0MTMxOTU5MDQ4
https://github.com/getify/You-Dont-Know-JS,2020-03-03T05:38:02Z,CLOSED,1,4,3,2,810,2017-08-15T10:42:10Z,MDExOlB1bGxSZXF1ZXN0MTM1Nzc2MzAx
https://github.com/getify/You-Dont-Know-JS,2017-09-17T01:32:04Z,CLOSED,1,0,2,8,2,2017-09-14T13:38:24Z,MDExOlB1bGxSZXF1ZXN0MTQxMDc2Njg5
https://github.com/getify/You-Dont-Know-JS,2017-10-18T05:22:48Z,CLOSED,1,0,2,2,173,2017-10-14T05:48:26Z,MDExOlB1bGxSZXF1ZXN0MTQ2NTg4NjA3
https://github.com/getify/You-Dont-Know-JS,2019-08-28T16:28:03Z,CLOSED,1,1,3,2,110,2017-10-21T17:56:59Z,MDExOlB1bGxSZXF1ZXN0MTQ3OTU1MTA0
