repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/animate-css/animate.css,2017-12-04T22:49:56Z,CLOSED,2,20,6,701,437,2016-08-05T13:13:08Z,MDExOlB1bGxSZXF1ZXN0ODAyNDA5ODA=
https://github.com/animate-css/animate.css,2017-04-27T12:23:25Z,MERGED,2,6,4,1903,121,2016-08-31T13:00:08Z,MDExOlB1bGxSZXF1ZXN0ODM0NDc2NTg=
https://github.com/animate-css/animate.css,2016-09-27T13:45:38Z,MERGED,2,9,5,10,74,2016-09-22T15:44:35Z,MDExOlB1bGxSZXF1ZXN0ODYzNjMzODM=
https://github.com/animate-css/animate.css,2017-11-10T00:33:55Z,MERGED,1,3,2,218,875,2017-05-01T06:29:26Z,MDExOlB1bGxSZXF1ZXN0MTE4MzUwNDQ0
https://github.com/animate-css/animate.css,2017-10-02T20:43:47Z,MERGED,4,1,4,4,135,2017-09-15T13:47:51Z,MDExOlB1bGxSZXF1ZXN0MTQxMzE1MTM1
https://github.com/animate-css/animate.css,2020-04-21T10:25:58Z,CLOSED,1,21,4,511,40,2017-10-04T00:33:52Z,MDExOlB1bGxSZXF1ZXN0MTQ0NTYwMTI5
https://github.com/animate-css/animate.css,2018-01-25T16:46:46Z,MERGED,3,12,3,603,265,2017-11-15T23:10:11Z,MDExOlB1bGxSZXF1ZXN0MTUyOTEwMTU1
https://github.com/animate-css/animate.css,2018-07-19T01:24:17Z,MERGED,1,5,2,105,698,2018-02-20T19:05:25Z,MDExOlB1bGxSZXF1ZXN0MTcwMjgwODIw
https://github.com/animate-css/animate.css,2018-07-21T15:55:44Z,MERGED,2,16,5,6988,395,2018-07-14T06:44:35Z,MDExOlB1bGxSZXF1ZXN0MjAxNDM5MjE5
https://github.com/animate-css/animate.css,2018-08-22T13:47:57Z,MERGED,4,6,3,6,187,2018-08-13T13:26:20Z,MDExOlB1bGxSZXF1ZXN0MjA3OTc3MDM1
https://github.com/animate-css/animate.css,2018-10-13T15:04:46Z,MERGED,1,2,4,2,0,2018-09-04T21:33:08Z,MDExOlB1bGxSZXF1ZXN0MjEzMTEwMTQ5
https://github.com/animate-css/animate.css,2018-10-17T20:01:51Z,MERGED,6,0,2,98,172,2018-10-13T17:09:51Z,MDExOlB1bGxSZXF1ZXN0MjIyNjYyNjkw
https://github.com/animate-css/animate.css,2020-04-20T14:46:02Z,MERGED,3,4,4,585,336,2019-01-17T00:28:39Z,MDExOlB1bGxSZXF1ZXN0MjQ1MzM3OTYx
