repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/sindresorhus/awesome,2015-07-29T10:23:30Z,MERGED,1,0,2,6,0,2015-07-29T03:41:00Z,MDExOlB1bGxSZXF1ZXN0NDEwODQ1MDg=
https://github.com/sindresorhus/awesome,2016-11-29T10:26:27Z,CLOSED,2,5,3,1,2101,2016-08-29T09:56:23Z,MDExOlB1bGxSZXF1ZXN0ODMwNzMzNTk=
https://github.com/sindresorhus/awesome,2016-11-03T17:13:43Z,MERGED,3,8,3,1,1982,2016-09-11T02:35:59Z,MDExOlB1bGxSZXF1ZXN0ODQ3NzQ4MTE=
https://github.com/sindresorhus/awesome,2016-12-17T10:41:53Z,MERGED,2,18,5,1,2074,2016-09-11T05:05:31Z,MDExOlB1bGxSZXF1ZXN0ODQ3NzcxMjM=
https://github.com/sindresorhus/awesome,2016-11-09T11:56:19Z,MERGED,6,9,3,1,1595,2016-09-12T09:11:26Z,MDExOlB1bGxSZXF1ZXN0ODQ4Mzc4MDE=
https://github.com/sindresorhus/awesome,2016-11-04T02:44:46Z,MERGED,1,7,3,1,1908,2016-09-20T18:34:07Z,MDExOlB1bGxSZXF1ZXN0ODYwMzE1NjI=
https://github.com/sindresorhus/awesome,2016-10-08T09:32:42Z,MERGED,2,15,7,1,1920,2016-09-21T12:21:34Z,MDExOlB1bGxSZXF1ZXN0ODYxNTE2MjI=
https://github.com/sindresorhus/awesome,2016-10-01T09:56:25Z,MERGED,2,2,2,4,416,2016-09-30T13:47:55Z,MDExOlB1bGxSZXF1ZXN0ODc0OTY3NTI=
https://github.com/sindresorhus/awesome,2016-10-06T09:37:06Z,MERGED,1,2,2,1,2166,2016-09-30T14:04:55Z,MDExOlB1bGxSZXF1ZXN0ODc0OTk3NDY=
https://github.com/sindresorhus/awesome,2016-10-18T04:26:22Z,MERGED,2,3,2,1,2042,2016-09-30T19:05:53Z,MDExOlB1bGxSZXF1ZXN0ODc1NDg4ODg=
https://github.com/sindresorhus/awesome,2017-06-02T18:15:03Z,CLOSED,1,12,3,1,2229,2016-10-01T14:58:41Z,MDExOlB1bGxSZXF1ZXN0ODc2MDQ0MDc=
https://github.com/sindresorhus/awesome,2016-10-06T06:55:56Z,CLOSED,2,5,4,1,2007,2016-10-03T07:05:57Z,MDExOlB1bGxSZXF1ZXN0ODc2NzExNjM=
https://github.com/sindresorhus/awesome,2016-10-08T06:17:43Z,MERGED,3,5,2,1,1600,2016-10-03T21:29:16Z,MDExOlB1bGxSZXF1ZXN0ODc3OTU0ODQ=
https://github.com/sindresorhus/awesome,2016-10-20T19:25:58Z,CLOSED,1,3,2,1,1874,2016-10-05T08:59:19Z,MDExOlB1bGxSZXF1ZXN0ODgwMzkyMDk=
https://github.com/sindresorhus/awesome,2017-01-05T21:20:32Z,CLOSED,1,3,2,1,1722,2016-10-16T23:51:32Z,MDExOlB1bGxSZXF1ZXN0ODk1NDU0NTk=
https://github.com/sindresorhus/awesome,2016-10-17T04:22:20Z,MERGED,2,0,2,2,1990,2016-10-17T01:19:25Z,MDExOlB1bGxSZXF1ZXN0ODk1NDg3MTk=
https://github.com/sindresorhus/awesome,2017-01-05T21:21:30Z,CLOSED,1,2,3,1,1722,2016-10-21T15:08:58Z,MDExOlB1bGxSZXF1ZXN0OTA0MDA4MDY=
https://github.com/sindresorhus/awesome,2017-03-07T11:54:31Z,MERGED,2,6,5,1,2077,2016-10-27T20:30:06Z,MDExOlB1bGxSZXF1ZXN0OTEyNzQ3NjI=
https://github.com/sindresorhus/awesome,2016-11-03T18:57:50Z,MERGED,7,9,2,1,1540,2016-10-28T01:00:41Z,MDExOlB1bGxSZXF1ZXN0OTEzMDY5NTQ=
https://github.com/sindresorhus/awesome,2016-11-20T06:43:26Z,MERGED,1,7,2,1,1999,2016-10-29T08:01:04Z,MDExOlB1bGxSZXF1ZXN0OTE0ODI1Njg=
https://github.com/sindresorhus/awesome,2016-11-07T09:54:11Z,MERGED,1,3,2,1,1830,2016-11-02T13:50:31Z,MDExOlB1bGxSZXF1ZXN0OTE5NzI4OTc=
https://github.com/sindresorhus/awesome,2016-11-20T06:42:53Z,MERGED,1,3,2,1,1872,2016-11-10T08:51:01Z,MDExOlB1bGxSZXF1ZXN0OTMxMDkxMzM=
https://github.com/sindresorhus/awesome,2016-12-17T10:43:18Z,MERGED,2,10,3,1,2259,2016-11-13T11:13:49Z,MDExOlB1bGxSZXF1ZXN0OTM0Njk3MDU=
https://github.com/sindresorhus/awesome,2016-12-17T10:56:01Z,MERGED,2,4,2,1,2844,2016-11-27T23:18:23Z,MDExOlB1bGxSZXF1ZXN0OTU0MjEyMjM=
https://github.com/sindresorhus/awesome,2017-01-10T08:59:50Z,MERGED,7,14,3,1,3422,2016-12-01T12:36:41Z,MDExOlB1bGxSZXF1ZXN0OTYwODA4ODM=
https://github.com/sindresorhus/awesome,2017-01-16T16:23:13Z,CLOSED,2,9,3,3,2727,2016-12-10T15:06:02Z,MDExOlB1bGxSZXF1ZXN0OTc0Mjc2OTY=
https://github.com/sindresorhus/awesome,2017-03-14T18:05:53Z,MERGED,1,5,3,1,3168,2016-12-15T12:24:08Z,MDExOlB1bGxSZXF1ZXN0OTgxNDA5NTY=
https://github.com/sindresorhus/awesome,2017-01-10T12:17:46Z,MERGED,3,2,2,1,2691,2016-12-17T13:50:15Z,MDExOlB1bGxSZXF1ZXN0OTg0NDQ1Njg=
https://github.com/sindresorhus/awesome,2017-01-18T16:04:48Z,MERGED,1,8,2,1,2876,2016-12-24T21:43:58Z,MDExOlB1bGxSZXF1ZXN0OTkzMTE1NDg=
https://github.com/sindresorhus/awesome,2017-02-20T06:32:10Z,CLOSED,1,7,2,2,2840,2016-12-29T13:42:59Z,MDExOlB1bGxSZXF1ZXN0OTk2NTY5NTY=
https://github.com/sindresorhus/awesome,2017-03-07T14:34:21Z,CLOSED,3,5,4,5,2718,2017-01-04T14:18:02Z,MDExOlB1bGxSZXF1ZXN0MTAwMTIyMDU1
https://github.com/sindresorhus/awesome,2017-04-20T02:50:36Z,CLOSED,1,6,4,1,2805,2017-01-07T12:10:17Z,MDExOlB1bGxSZXF1ZXN0MTAwNTY3MzAz
https://github.com/sindresorhus/awesome,2017-02-13T18:09:45Z,CLOSED,1,4,2,1,2786,2017-01-17T10:50:02Z,MDExOlB1bGxSZXF1ZXN0MTAxODM4NzM1
https://github.com/sindresorhus/awesome,2017-02-18T20:30:03Z,MERGED,2,1,2,43,226,2017-01-21T11:08:33Z,MDExOlB1bGxSZXF1ZXN0MTAyNTc5MjI3
https://github.com/sindresorhus/awesome,2017-02-20T09:39:06Z,MERGED,2,5,3,1,3098,2017-01-30T06:32:23Z,MDExOlB1bGxSZXF1ZXN0MTAzNjg0OTIy
https://github.com/sindresorhus/awesome,2017-09-11T18:25:55Z,CLOSED,4,12,5,2,2721,2017-02-06T21:52:01Z,MDExOlB1bGxSZXF1ZXN0MTA0ODkwMTgz
https://github.com/sindresorhus/awesome,2017-05-18T16:42:14Z,CLOSED,3,9,5,1,2825,2017-03-02T01:13:41Z,MDExOlB1bGxSZXF1ZXN0MTA4NjY2MDY0
https://github.com/sindresorhus/awesome,2017-09-11T18:26:46Z,CLOSED,2,12,4,1,2819,2017-03-04T13:23:15Z,MDExOlB1bGxSZXF1ZXN0MTA5MTA3NDYx
https://github.com/sindresorhus/awesome,2017-04-23T14:59:55Z,MERGED,1,10,4,1,2767,2017-03-05T05:43:51Z,MDExOlB1bGxSZXF1ZXN0MTA5MTM2NzY3
https://github.com/sindresorhus/awesome,2017-05-16T07:43:15Z,CLOSED,2,5,3,1,2755,2017-03-07T11:01:36Z,MDExOlB1bGxSZXF1ZXN0MTA5NDU0Njc5
https://github.com/sindresorhus/awesome,2017-06-18T17:07:58Z,MERGED,2,10,3,1,2833,2017-03-11T16:06:48Z,MDExOlB1bGxSZXF1ZXN0MTEwMjY0MDE5
https://github.com/sindresorhus/awesome,2017-07-07T11:21:24Z,MERGED,1,8,3,1,3093,2017-03-16T18:00:38Z,MDExOlB1bGxSZXF1ZXN0MTExMTI5OTg5
