repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/jwasham/coding-interview-university,2016-10-06T16:40:31Z,MERGED,1,0,3,2,0,2016-10-06T10:08:17Z,MDExOlB1bGxSZXF1ZXN0ODgyMzMwNTY=
https://github.com/jwasham/coding-interview-university,2016-10-06T21:20:55Z,CLOSED,1,1,3,21,0,2016-10-06T15:49:06Z,MDExOlB1bGxSZXF1ZXN0ODgyODkzNDU=
https://github.com/jwasham/coding-interview-university,2016-10-06T21:25:38Z,MERGED,1,5,3,189,116,2016-10-06T19:24:59Z,MDExOlB1bGxSZXF1ZXN0ODgzMjUxNjI=
https://github.com/jwasham/coding-interview-university,2016-10-09T03:32:02Z,MERGED,1,1,3,11,39,2016-10-09T01:36:16Z,MDExOlB1bGxSZXF1ZXN0ODg1NjQ3ODc=
https://github.com/jwasham/coding-interview-university,2016-10-16T02:17:14Z,MERGED,2,2,2,3,153,2016-10-15T16:08:41Z,MDExOlB1bGxSZXF1ZXN0ODk0OTc2OTk=
https://github.com/jwasham/coding-interview-university,2017-05-28T17:00:33Z,MERGED,12,11,9,3943,682,2016-12-20T19:12:18Z,MDExOlB1bGxSZXF1ZXN0OTg4MDc3OTY=
https://github.com/jwasham/coding-interview-university,2016-12-25T20:03:37Z,MERGED,2,4,3,1679,52,2016-12-22T05:53:09Z,MDExOlB1bGxSZXF1ZXN0OTkwNTE5Mjk=
https://github.com/jwasham/coding-interview-university,2020-11-28T18:12:43Z,MERGED,3,9,13,2001,0,2016-12-23T08:07:38Z,MDExOlB1bGxSZXF1ZXN0OTkyMTI5OTQ=
https://github.com/jwasham/coding-interview-university,2016-12-27T04:55:10Z,MERGED,1,0,3,30,18,2016-12-26T09:55:48Z,MDExOlB1bGxSZXF1ZXN0OTkzNTY2MDU=
https://github.com/jwasham/coding-interview-university,2017-01-07T18:18:30Z,CLOSED,1,1,3,242,0,2017-01-06T05:01:41Z,MDExOlB1bGxSZXF1ZXN0MTAwNDEwMzI5
https://github.com/jwasham/coding-interview-university,2017-03-12T00:16:34Z,MERGED,9,5,3,1940,80,2017-03-04T01:18:38Z,MDExOlB1bGxSZXF1ZXN0MTA5MDg1ODU3
https://github.com/jwasham/coding-interview-university,2017-04-05T03:58:52Z,MERGED,1,2,3,36,0,2017-03-10T06:08:00Z,MDExOlB1bGxSZXF1ZXN0MTEwMDY3MTAy
https://github.com/jwasham/coding-interview-university,2017-08-23T10:08:21Z,CLOSED,2,0,4,48,29,2017-03-11T11:10:48Z,MDExOlB1bGxSZXF1ZXN0MTEwMjU2Mjc0
https://github.com/jwasham/coding-interview-university,2017-03-14T17:00:08Z,MERGED,1,2,3,43,112,2017-03-14T02:40:05Z,MDExOlB1bGxSZXF1ZXN0MTEwNTM3NDE1
https://github.com/jwasham/coding-interview-university,2017-03-19T18:32:36Z,MERGED,1,4,4,37,71,2017-03-19T14:52:34Z,MDExOlB1bGxSZXF1ZXN0MTExNDUyOTE2
https://github.com/jwasham/coding-interview-university,2017-06-09T04:09:25Z,MERGED,1,1,3,2,82,2017-06-05T10:31:08Z,MDExOlB1bGxSZXF1ZXN0MTIzOTUyMTk1
https://github.com/jwasham/coding-interview-university,2017-06-10T17:52:17Z,MERGED,1,1,3,2,95,2017-06-09T14:37:40Z,MDExOlB1bGxSZXF1ZXN0MTI0ODgxODk4
https://github.com/jwasham/coding-interview-university,2017-12-22T03:29:47Z,MERGED,1,1,3,205,192,2017-12-20T08:52:43Z,MDExOlB1bGxSZXF1ZXN0MTU5MzYwODk4
https://github.com/jwasham/coding-interview-university,2020-10-14T15:29:35Z,MERGED,1,2,3,62,164,2018-02-27T20:32:52Z,MDExOlB1bGxSZXF1ZXN0MTcxNzc2NDk1
https://github.com/jwasham/coding-interview-university,2018-04-20T02:19:44Z,MERGED,1,1,2,5,0,2018-04-06T09:32:18Z,MDExOlB1bGxSZXF1ZXN0MTc5ODk3ODI3
https://github.com/jwasham/coding-interview-university,2020-02-12T05:53:16Z,CLOSED,4,0,2,4,40,2018-10-24T19:32:15Z,MDExOlB1bGxSZXF1ZXN0MjI1NTIzNTgx
https://github.com/jwasham/coding-interview-university,2020-12-29T21:07:30Z,MERGED,2,2,4,0,0,2018-10-30T14:31:56Z,MDExOlB1bGxSZXF1ZXN0MjI2OTQ2MTQ5
https://github.com/jwasham/coding-interview-university,2019-01-19T20:55:14Z,MERGED,2,2,2,6,95,2019-01-16T04:25:29Z,MDExOlB1bGxSZXF1ZXN0MjQ1MDE5MDYy
https://github.com/jwasham/coding-interview-university,2019-04-26T02:19:50Z,MERGED,1,1,4,26,104,2019-04-25T07:47:27Z,MDExOlB1bGxSZXF1ZXN0MjczNDExMjcy
https://github.com/jwasham/coding-interview-university,2019-09-14T20:12:46Z,MERGED,7,5,3,2094,41,2019-07-13T16:55:06Z,MDExOlB1bGxSZXF1ZXN0Mjk3MzMxMTg1
https://github.com/jwasham/coding-interview-university,2019-08-09T03:50:01Z,MERGED,3,2,2,6,19,2019-08-06T06:00:20Z,MDExOlB1bGxSZXF1ZXN0MzA0NTU5NzQ0
