repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/ossu/computer-science,2016-10-03T12:56:46Z,CLOSED,1,1,3,3,87,2016-09-23T14:49:08Z,MDExOlB1bGxSZXF1ZXN0ODY1MjYwMDM=
https://github.com/ossu/computer-science,2016-10-13T22:39:33Z,CLOSED,16,1,3,11,193,2016-10-13T15:41:12Z,MDExOlB1bGxSZXF1ZXN0ODkyMjgyNzA=
https://github.com/ossu/computer-science,2016-10-23T09:14:09Z,CLOSED,1,0,2,8,40,2016-10-14T09:25:53Z,MDExOlB1bGxSZXF1ZXN0ODkzNTE0MDk=
https://github.com/ossu/computer-science,2016-10-18T10:02:38Z,MERGED,1,2,2,8,0,2016-10-18T08:27:53Z,MDExOlB1bGxSZXF1ZXN0ODk3NjgwNTE=
https://github.com/ossu/computer-science,2016-11-15T20:47:09Z,MERGED,2,4,2,5,62,2016-11-13T11:33:33Z,MDExOlB1bGxSZXF1ZXN0OTM0NzAxMjA=
https://github.com/ossu/computer-science,2018-09-27T22:32:52Z,CLOSED,1,7,5,11,69,2018-01-16T03:00:16Z,MDExOlB1bGxSZXF1ZXN0MTYzMDc5ODIy
https://github.com/ossu/computer-science,2018-10-16T14:28:49Z,MERGED,3,4,4,8,61,2018-10-13T12:10:41Z,MDExOlB1bGxSZXF1ZXN0MjIyNjQ2NDc2
https://github.com/ossu/computer-science,2018-11-06T05:31:57Z,CLOSED,1,0,2,25,287,2018-10-22T23:51:13Z,MDExOlB1bGxSZXF1ZXN0MjI0ODQ5MTMy
https://github.com/ossu/computer-science,2019-04-11T19:34:40Z,MERGED,1,0,2,2,0,2019-04-11T13:21:23Z,MDExOlB1bGxSZXF1ZXN0MjY5NTcwNjc2
https://github.com/ossu/computer-science,2019-10-11T22:00:03Z,MERGED,2,0,2,8,25,2019-10-11T09:25:57Z,MDExOlB1bGxSZXF1ZXN0MzI3MTA5NTU4
https://github.com/ossu/computer-science,2021-01-18T14:33:48Z,CLOSED,2,6,4,1,206,2020-12-28T04:49:58Z,MDExOlB1bGxSZXF1ZXN0NTQ1OTE3MzYz
https://github.com/ossu/computer-science,2021-01-29T08:26:13Z,MERGED,2,1,4,2,189,2021-01-26T18:59:21Z,MDExOlB1bGxSZXF1ZXN0NTYxOTkwNzQ3
https://github.com/ossu/computer-science,2021-03-31T01:52:40Z,CLOSED,1,1,3,1,76,2021-03-04T07:58:42Z,MDExOlB1bGxSZXF1ZXN0NTg0NTg1NjE4
https://github.com/ossu/computer-science,2016-10-03T12:56:46Z,CLOSED,1,1,3,3,87,2016-09-23T14:49:08Z,MDExOlB1bGxSZXF1ZXN0ODY1MjYwMDM=
https://github.com/ossu/computer-science,2016-10-13T22:39:33Z,CLOSED,16,1,3,11,193,2016-10-13T15:41:12Z,MDExOlB1bGxSZXF1ZXN0ODkyMjgyNzA=
https://github.com/ossu/computer-science,2016-10-23T09:14:09Z,CLOSED,1,0,2,8,40,2016-10-14T09:25:53Z,MDExOlB1bGxSZXF1ZXN0ODkzNTE0MDk=
https://github.com/ossu/computer-science,2016-10-18T10:02:38Z,MERGED,1,2,2,8,0,2016-10-18T08:27:53Z,MDExOlB1bGxSZXF1ZXN0ODk3NjgwNTE=
https://github.com/ossu/computer-science,2016-11-15T20:47:09Z,MERGED,2,4,2,5,62,2016-11-13T11:33:33Z,MDExOlB1bGxSZXF1ZXN0OTM0NzAxMjA=
https://github.com/ossu/computer-science,2018-09-27T22:32:52Z,CLOSED,1,7,5,11,69,2018-01-16T03:00:16Z,MDExOlB1bGxSZXF1ZXN0MTYzMDc5ODIy
https://github.com/ossu/computer-science,2018-10-16T14:28:49Z,MERGED,3,4,4,8,61,2018-10-13T12:10:41Z,MDExOlB1bGxSZXF1ZXN0MjIyNjQ2NDc2
https://github.com/ossu/computer-science,2018-11-06T05:31:57Z,CLOSED,1,0,2,25,287,2018-10-22T23:51:13Z,MDExOlB1bGxSZXF1ZXN0MjI0ODQ5MTMy
https://github.com/ossu/computer-science,2019-04-11T19:34:40Z,MERGED,1,0,2,2,0,2019-04-11T13:21:23Z,MDExOlB1bGxSZXF1ZXN0MjY5NTcwNjc2
https://github.com/ossu/computer-science,2019-10-11T22:00:03Z,MERGED,2,0,2,8,25,2019-10-11T09:25:57Z,MDExOlB1bGxSZXF1ZXN0MzI3MTA5NTU4
https://github.com/ossu/computer-science,2021-01-18T14:33:48Z,CLOSED,2,6,4,1,206,2020-12-28T04:49:58Z,MDExOlB1bGxSZXF1ZXN0NTQ1OTE3MzYz
https://github.com/ossu/computer-science,2021-01-29T08:26:13Z,MERGED,2,1,4,2,189,2021-01-26T18:59:21Z,MDExOlB1bGxSZXF1ZXN0NTYxOTkwNzQ3
https://github.com/ossu/computer-science,2021-03-31T01:52:40Z,CLOSED,1,1,3,1,76,2021-03-04T07:58:42Z,MDExOlB1bGxSZXF1ZXN0NTg0NTg1NjE4
