repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/facebook/create-react-app,2016-07-24T23:07:33Z,MERGED,1,20,6,42,104,2016-07-22T19:17:34Z,MDExOlB1bGxSZXF1ZXN0Nzg1MjY2MDE=
https://github.com/facebook/create-react-app,2016-07-25T19:50:28Z,CLOSED,1,17,8,366,379,2016-07-25T13:41:06Z,MDExOlB1bGxSZXF1ZXN0Nzg2ODI4Mzg=
https://github.com/facebook/create-react-app,2016-09-22T19:14:26Z,CLOSED,1,26,10,14,161,2016-07-26T18:50:36Z,MDExOlB1bGxSZXF1ZXN0Nzg5MDQ1Mjc=
https://github.com/facebook/create-react-app,2016-08-08T04:05:58Z,MERGED,4,31,12,50,17,2016-08-05T01:24:22Z,MDExOlB1bGxSZXF1ZXN0ODAxNzU1Nzc=
https://github.com/facebook/create-react-app,2016-09-17T22:09:20Z,CLOSED,2,9,4,24,515,2016-08-31T04:13:46Z,MDExOlB1bGxSZXF1ZXN0ODMzODYwNDA=
https://github.com/facebook/create-react-app,2016-09-21T14:52:48Z,CLOSED,1,4,3,2,16,2016-09-05T19:00:26Z,MDExOlB1bGxSZXF1ZXN0ODQwMzMxMzM=
https://github.com/facebook/create-react-app,2016-09-27T14:21:52Z,CLOSED,1,20,8,2,129,2016-09-05T20:11:00Z,MDExOlB1bGxSZXF1ZXN0ODQwMzY3MzM=
https://github.com/facebook/create-react-app,2016-09-30T12:49:09Z,CLOSED,2,7,7,23,0,2016-09-07T01:35:07Z,MDExOlB1bGxSZXF1ZXN0ODQyMjM3MTg=
https://github.com/facebook/create-react-app,2016-09-11T22:53:57Z,MERGED,5,11,4,28,12,2016-09-11T15:41:22Z,MDExOlB1bGxSZXF1ZXN0ODQ3ODk3MzU=
https://github.com/facebook/create-react-app,2016-09-18T08:03:05Z,MERGED,2,10,3,22,21,2016-09-12T11:18:43Z,MDExOlB1bGxSZXF1ZXN0ODQ4NTQxODY=
