repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/expressjs/express,2016-11-18T17:31:57Z,CLOSED,24,53,10,264,726,2014-11-11T12:17:34Z,MDExOlB1bGxSZXF1ZXN0MjQyMTU1MzI=
https://github.com/expressjs/express,2020-04-15T06:51:21Z,CLOSED,1,12,3,43,623,2016-10-12T19:21:32Z,MDExOlB1bGxSZXF1ZXN0ODkwNzcwMDE=
https://github.com/expressjs/express,2016-11-18T18:44:07Z,CLOSED,2,0,4,29,248,2016-11-17T08:06:59Z,MDExOlB1bGxSZXF1ZXN0OTQxMTkzNDI=
https://github.com/expressjs/express,2016-11-27T20:50:55Z,CLOSED,1,11,2,67,513,2016-11-23T19:32:56Z,MDExOlB1bGxSZXF1ZXN0OTUwNjY1MDI=
https://github.com/expressjs/express,2020-04-19T00:50:13Z,CLOSED,4,7,4,48,24,2016-11-27T20:50:36Z,MDExOlB1bGxSZXF1ZXN0OTU0MTYxNDk=
https://github.com/expressjs/express,2017-02-28T00:39:05Z,CLOSED,1,2,2,17,0,2017-01-14T01:35:28Z,MDExOlB1bGxSZXF1ZXN0MTAxNTQ0NTM5
https://github.com/expressjs/express,2017-01-21T05:26:04Z,CLOSED,2,0,3,2,162,2017-01-18T06:32:40Z,MDExOlB1bGxSZXF1ZXN0MTAyMDA3NjEy
https://github.com/expressjs/express,2017-01-21T05:27:35Z,CLOSED,1,0,2,1,51,2017-01-20T14:07:06Z,MDExOlB1bGxSZXF1ZXN0MTAyNDY4MTcz
https://github.com/expressjs/express,2017-02-26T13:07:38Z,CLOSED,1,6,2,72,97,2017-01-27T11:00:24Z,MDExOlB1bGxSZXF1ZXN0MTAzNDcyNTE4
https://github.com/expressjs/express,2017-03-01T22:14:07Z,MERGED,2,14,7,452,1840,2017-01-29T03:48:33Z,MDExOlB1bGxSZXF1ZXN0MTAzNjM0Mjg1
https://github.com/expressjs/express,2017-02-05T01:44:24Z,CLOSED,1,0,3,2,207,2017-02-01T09:28:46Z,MDExOlB1bGxSZXF1ZXN0MTA0MTAwMTQ5
https://github.com/expressjs/express,2017-02-08T00:44:50Z,CLOSED,1,0,3,2,138,2017-02-06T12:11:16Z,MDExOlB1bGxSZXF1ZXN0MTA0Nzg2MjE1
https://github.com/expressjs/express,2017-03-01T22:14:09Z,CLOSED,8,2,3,20,546,2017-02-20T21:38:34Z,MDExOlB1bGxSZXF1ZXN0MTA3MDc5OTQ4
https://github.com/expressjs/express,2017-03-01T23:23:05Z,CLOSED,2,0,3,48,156,2017-02-26T13:39:38Z,MDExOlB1bGxSZXF1ZXN0MTA4MDA1MDg3
https://github.com/expressjs/express,2017-03-06T02:05:36Z,CLOSED,1,1,2,3,208,2017-02-28T12:42:17Z,MDExOlB1bGxSZXF1ZXN0MTA4MzIyMTcw
https://github.com/expressjs/express,2017-03-10T04:37:51Z,CLOSED,1,0,3,1,175,2017-03-08T14:11:06Z,MDExOlB1bGxSZXF1ZXN0MTA5NzAyNTMz
https://github.com/expressjs/express,2017-03-17T04:11:10Z,CLOSED,1,4,3,145,87,2017-03-08T14:54:19Z,MDExOlB1bGxSZXF1ZXN0MTA5NzEwOTk4
https://github.com/expressjs/express,2017-03-23T04:07:21Z,CLOSED,1,0,2,2,35,2017-03-20T16:25:17Z,MDExOlB1bGxSZXF1ZXN0MTExNTkyNjk4
https://github.com/expressjs/express,2017-09-22T02:46:50Z,CLOSED,4,31,3,96,298,2017-03-21T22:01:50Z,MDExOlB1bGxSZXF1ZXN0MTExODg5Nzk0
https://github.com/expressjs/express,2017-03-24T21:08:00Z,CLOSED,1,0,3,2,74,2017-03-24T08:54:10Z,MDExOlB1bGxSZXF1ZXN0MTEyNDExMTQ1
https://github.com/expressjs/express,2017-09-28T17:46:31Z,CLOSED,2,3,2,134,11,2017-04-05T22:00:06Z,MDExOlB1bGxSZXF1ZXN0MTE0NDgyMzI0
https://github.com/expressjs/express,2020-04-15T08:12:18Z,CLOSED,8,11,6,1019,177,2017-05-07T23:10:35Z,MDExOlB1bGxSZXF1ZXN0MTE5MzU4NjE2
https://github.com/expressjs/express,2017-05-11T19:48:34Z,CLOSED,1,1,3,2,0,2017-05-09T20:37:32Z,MDExOlB1bGxSZXF1ZXN0MTE5NzQ4MDg2
https://github.com/expressjs/express,2017-05-11T03:34:35Z,CLOSED,5,1,2,81,75,2017-05-10T04:17:53Z,MDExOlB1bGxSZXF1ZXN0MTE5ODAwMDI2
https://github.com/expressjs/express,2017-05-15T03:58:48Z,CLOSED,4,2,2,24,67,2017-05-10T20:25:19Z,MDExOlB1bGxSZXF1ZXN0MTE5OTcwNzY3
https://github.com/expressjs/express,2017-05-18T01:46:08Z,CLOSED,8,2,4,24,825,2017-05-17T08:09:12Z,MDExOlB1bGxSZXF1ZXN0MTIwOTk2OTYw
https://github.com/expressjs/express,2017-07-26T17:06:38Z,CLOSED,1,0,2,8,174,2017-05-18T16:19:51Z,MDExOlB1bGxSZXF1ZXN0MTIxMzI0MTkx
https://github.com/expressjs/express,2017-09-28T17:46:29Z,CLOSED,3,3,2,35,85,2017-05-18T18:07:43Z,MDExOlB1bGxSZXF1ZXN0MTIxMzQ0NDk5
