repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/EbookFoundation/free-programming-books,2017-10-12T18:43:59Z,CLOSED,1,9,4,2,0,2016-07-05T16:02:22Z,MDExOlB1bGxSZXF1ZXN0NzYyOTk3MzU=
https://github.com/EbookFoundation/free-programming-books,2016-10-02T10:43:08Z,CLOSED,1,1,2,1,20,2016-08-13T10:18:17Z,MDExOlB1bGxSZXF1ZXN0ODEyMTI1ODk=
https://github.com/EbookFoundation/free-programming-books,2016-10-02T10:43:08Z,CLOSED,1,2,3,1,138,2016-08-30T15:08:17Z,MDExOlB1bGxSZXF1ZXN0ODMyODk2NTA=
https://github.com/EbookFoundation/free-programming-books,2017-05-17T17:14:59Z,CLOSED,1,3,3,23,0,2016-09-04T12:29:39Z,MDExOlB1bGxSZXF1ZXN0ODM5MjE1MTI=
https://github.com/EbookFoundation/free-programming-books,2016-09-22T19:45:22Z,CLOSED,3,0,3,1,0,2016-09-21T21:14:59Z,MDExOlB1bGxSZXF1ZXN0ODYyNDI2NjA=
https://github.com/EbookFoundation/free-programming-books,2017-01-15T00:17:31Z,CLOSED,1,4,4,30,0,2016-10-06T17:32:53Z,MDExOlB1bGxSZXF1ZXN0ODgzMDY1ODg=
https://github.com/EbookFoundation/free-programming-books,2017-07-12T21:33:31Z,MERGED,2,1,3,3,0,2016-10-17T13:37:41Z,MDExOlB1bGxSZXF1ZXN0ODk2MjQ4ODA=
https://github.com/EbookFoundation/free-programming-books,2017-07-12T21:47:50Z,MERGED,4,3,3,3,0,2016-10-19T06:30:27Z,MDExOlB1bGxSZXF1ZXN0ODk5NDkwMTQ=
https://github.com/EbookFoundation/free-programming-books,2017-05-18T15:56:29Z,MERGED,1,2,3,24,43,2016-10-23T06:52:07Z,MDExOlB1bGxSZXF1ZXN0OTA1MDcwNjY=
https://github.com/EbookFoundation/free-programming-books,2017-10-24T14:40:55Z,MERGED,1,1,2,1,48,2016-10-23T08:46:19Z,MDExOlB1bGxSZXF1ZXN0OTA1MDkwNjg=
https://github.com/EbookFoundation/free-programming-books,2017-10-24T14:31:14Z,CLOSED,1,2,3,14,117,2016-10-25T10:57:59Z,MDExOlB1bGxSZXF1ZXN0OTA3ODQyNTg=
https://github.com/EbookFoundation/free-programming-books,2017-05-18T17:29:42Z,MERGED,2,3,2,32,173,2016-10-28T01:32:12Z,MDExOlB1bGxSZXF1ZXN0OTEzMDkxMjc=
