repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/github/gitignore,2013-11-27T03:48:41Z,MERGED,1,1,3,12,177,2013-11-13T02:03:53Z,MDExOlB1bGxSZXF1ZXN0OTkwNzQ2OQ==
https://github.com/github/gitignore,2017-02-02T09:56:08Z,MERGED,1,2,4,10,1096,2015-03-01T02:00:01Z,MDExOlB1bGxSZXF1ZXN0MzAyMzUxNTE=
https://github.com/github/gitignore,2017-02-28T10:36:25Z,CLOSED,1,4,5,10,246,2015-09-22T10:35:40Z,MDExOlB1bGxSZXF1ZXN0NDU2NDgxMzY=
https://github.com/github/gitignore,2018-11-22T20:02:22Z,CLOSED,1,3,2,60,394,2015-10-01T20:11:53Z,MDExOlB1bGxSZXF1ZXN0NDY1NzA2NTk=
https://github.com/github/gitignore,2018-11-22T20:22:01Z,CLOSED,1,15,6,13,114,2015-11-16T14:59:02Z,MDExOlB1bGxSZXF1ZXN0NTA4MTk4ODE=
https://github.com/github/gitignore,2018-11-23T11:38:59Z,CLOSED,1,0,2,19,0,2015-11-26T11:58:42Z,MDExOlB1bGxSZXF1ZXN0NTE5MDQyNTk=
https://github.com/github/gitignore,2018-11-22T20:55:17Z,CLOSED,1,0,2,131,72,2016-03-21T03:31:46Z,MDExOlB1bGxSZXF1ZXN0NjM1MTkwNjQ=
https://github.com/github/gitignore,2018-11-22T20:21:36Z,CLOSED,1,1,3,9,678,2016-06-06T22:11:39Z,MDExOlB1bGxSZXF1ZXN0NzI3ODY4ODY=
https://github.com/github/gitignore,2018-11-23T18:54:51Z,MERGED,6,2,2,9,274,2016-06-28T23:32:27Z,MDExOlB1bGxSZXF1ZXN0NzU1Njc0NTg=
https://github.com/github/gitignore,2018-11-22T20:48:05Z,CLOSED,1,2,3,29,197,2016-07-01T06:45:11Z,MDExOlB1bGxSZXF1ZXN0NzU5MzQzMDY=
https://github.com/github/gitignore,2017-02-23T01:50:00Z,CLOSED,1,2,3,2,669,2016-07-09T22:26:38Z,MDExOlB1bGxSZXF1ZXN0NzY4NTg3MDU=
https://github.com/github/gitignore,2018-08-17T16:23:11Z,CLOSED,1,2,3,2,330,2016-08-15T09:34:19Z,MDExOlB1bGxSZXF1ZXN0ODEyODk1OTA=
https://github.com/github/gitignore,2017-02-16T10:58:40Z,MERGED,5,1,2,3,100,2016-08-16T06:54:15Z,MDExOlB1bGxSZXF1ZXN0ODE0MjI3NzI=
https://github.com/github/gitignore,2018-06-17T19:36:56Z,CLOSED,3,1,3,4,269,2016-08-25T22:06:54Z,MDExOlB1bGxSZXF1ZXN0ODI4MDE3Mjk=
https://github.com/github/gitignore,2018-10-27T22:33:29Z,MERGED,2,2,4,18,537,2016-08-30T20:15:03Z,MDExOlB1bGxSZXF1ZXN0ODMzMzkxMzM=
https://github.com/github/gitignore,2018-11-23T18:45:29Z,CLOSED,3,1,2,131,353,2016-09-05T12:38:43Z,MDExOlB1bGxSZXF1ZXN0ODM5OTYxNjM=
https://github.com/github/gitignore,2018-11-23T18:57:18Z,CLOSED,1,6,6,123,678,2016-09-08T12:57:49Z,MDExOlB1bGxSZXF1ZXN0ODQ0NzI0MDQ=
https://github.com/github/gitignore,2016-09-26T11:18:34Z,MERGED,4,1,2,3,253,2016-09-15T07:50:48Z,MDExOlB1bGxSZXF1ZXN0ODUzNTg4OTg=
https://github.com/github/gitignore,2016-10-03T03:46:39Z,MERGED,1,3,3,3,221,2016-09-15T10:27:33Z,MDExOlB1bGxSZXF1ZXN0ODUzNzkzNjU=
https://github.com/github/gitignore,2017-02-02T11:00:35Z,MERGED,1,4,2,8,339,2016-09-20T02:29:26Z,MDExOlB1bGxSZXF1ZXN0ODU5MDE0MDY=
https://github.com/github/gitignore,2016-09-26T10:08:35Z,MERGED,2,0,2,3,677,2016-09-21T06:23:59Z,MDExOlB1bGxSZXF1ZXN0ODYxMDQxNTg=
https://github.com/github/gitignore,2016-09-27T23:38:33Z,CLOSED,1,1,2,1,95,2016-09-27T00:24:52Z,MDExOlB1bGxSZXF1ZXN0ODY4NDMyNjM=
https://github.com/github/gitignore,2018-06-21T14:39:12Z,MERGED,1,6,5,7,549,2016-10-26T03:22:19Z,MDExOlB1bGxSZXF1ZXN0OTA5MzAxMjM=
https://github.com/github/gitignore,2017-01-29T12:31:40Z,MERGED,6,3,3,1,461,2016-11-18T12:47:46Z,MDExOlB1bGxSZXF1ZXN0OTQzNTYwODc=
https://github.com/github/gitignore,2016-12-02T11:10:49Z,MERGED,3,0,2,38,243,2016-12-02T01:04:05Z,MDExOlB1bGxSZXF1ZXN0OTYyMDI4NDk=
https://github.com/github/gitignore,2016-12-21T03:43:27Z,MERGED,2,1,2,5,260,2016-12-20T11:48:03Z,MDExOlB1bGxSZXF1ZXN0OTg3MzQxNzM=
https://github.com/github/gitignore,2017-02-01T16:57:15Z,MERGED,1,2,2,2,524,2017-01-24T12:48:59Z,MDExOlB1bGxSZXF1ZXN0MTAyOTExNjky
https://github.com/github/gitignore,2017-01-25T13:39:38Z,MERGED,1,1,3,3,385,2017-01-25T03:18:10Z,MDExOlB1bGxSZXF1ZXN0MTAzMDQ4NjIx
https://github.com/github/gitignore,2017-02-03T04:07:01Z,CLOSED,3,2,2,14,175,2017-02-02T01:57:55Z,MDExOlB1bGxSZXF1ZXN0MTA0MjYxOTM1
https://github.com/github/gitignore,2017-02-09T08:32:46Z,CLOSED,3,4,4,3,180,2017-02-08T19:16:05Z,MDExOlB1bGxSZXF1ZXN0MTA1Mjg0NTc0
https://github.com/github/gitignore,2017-02-15T09:20:24Z,MERGED,1,1,3,1,0,2017-02-13T22:02:44Z,MDExOlB1bGxSZXF1ZXN0MTA1OTg4OTU3
https://github.com/github/gitignore,2017-02-20T09:23:14Z,MERGED,2,1,2,3,801,2017-02-20T05:52:48Z,MDExOlB1bGxSZXF1ZXN0MTA2OTQzNjg1
https://github.com/github/gitignore,2018-11-22T20:50:52Z,CLOSED,3,3,4,3,1248,2017-02-22T17:19:04Z,MDExOlB1bGxSZXF1ZXN0MTA3NDU2MTAy
https://github.com/github/gitignore,2017-03-28T23:56:41Z,CLOSED,1,2,2,4,690,2017-02-24T14:50:23Z,MDExOlB1bGxSZXF1ZXN0MTA3ODQyNTU3
https://github.com/github/gitignore,2018-10-27T23:01:51Z,CLOSED,1,5,3,3,361,2017-02-26T11:19:20Z,MDExOlB1bGxSZXF1ZXN0MTA4MDAwNjIy
https://github.com/github/gitignore,2017-03-02T22:08:35Z,CLOSED,1,3,2,3,677,2017-03-02T15:54:02Z,MDExOlB1bGxSZXF1ZXN0MTA4Nzg5MDY0
https://github.com/github/gitignore,2018-11-23T20:15:50Z,MERGED,2,2,2,2,309,2017-03-02T22:21:50Z,MDExOlB1bGxSZXF1ZXN0MTA4ODY0ODA2
https://github.com/github/gitignore,2018-11-23T19:54:22Z,CLOSED,1,3,3,73,294,2017-03-03T19:24:09Z,MDExOlB1bGxSZXF1ZXN0MTA5MDM4NTI3
https://github.com/github/gitignore,2018-11-23T19:58:42Z,CLOSED,1,4,4,8,607,2017-03-04T13:24:56Z,MDExOlB1bGxSZXF1ZXN0MTA5MTA3NTEx
https://github.com/github/gitignore,2018-11-23T18:19:10Z,CLOSED,2,2,3,10,1062,2017-03-08T10:48:56Z,MDExOlB1bGxSZXF1ZXN0MTA5NjcxMjEw
https://github.com/github/gitignore,2018-11-23T18:19:40Z,CLOSED,1,1,2,20,1062,2017-03-08T10:50:24Z,MDExOlB1bGxSZXF1ZXN0MTA5NjcxNDU4
https://github.com/github/gitignore,2017-03-13T00:44:35Z,MERGED,1,8,4,27,564,2017-03-11T00:35:18Z,MDExOlB1bGxSZXF1ZXN0MTEwMjM1OTg5
https://github.com/github/gitignore,2018-11-23T17:30:28Z,CLOSED,1,2,3,11,1038,2017-03-16T18:59:01Z,MDExOlB1bGxSZXF1ZXN0MTExMTQxNTg2
https://github.com/github/gitignore,2018-11-23T19:57:00Z,CLOSED,4,3,4,53,264,2017-03-17T23:51:51Z,MDExOlB1bGxSZXF1ZXN0MTExMzg1Mjkw
https://github.com/github/gitignore,2017-03-26T21:35:38Z,CLOSED,1,2,3,3,459,2017-03-26T15:55:13Z,MDExOlB1bGxSZXF1ZXN0MTEyNjMyNTQx
https://github.com/github/gitignore,2017-04-14T23:45:23Z,CLOSED,3,1,2,1,245,2017-03-31T03:24:36Z,MDExOlB1bGxSZXF1ZXN0MTEzNTY3NjE0
https://github.com/github/gitignore,2017-04-03T00:13:01Z,MERGED,2,1,2,3,232,2017-03-31T08:54:05Z,MDExOlB1bGxSZXF1ZXN0MTEzNjAyOTM1
https://github.com/github/gitignore,2017-04-19T14:49:31Z,CLOSED,2,1,3,82,549,2017-04-09T18:49:12Z,MDExOlB1bGxSZXF1ZXN0MTE0OTk2OTUw
https://github.com/github/gitignore,2018-11-22T20:40:22Z,CLOSED,1,3,3,85,320,2017-04-23T22:27:50Z,MDExOlB1bGxSZXF1ZXN0MTE3MTY4NTU3
https://github.com/github/gitignore,2018-11-22T20:39:44Z,CLOSED,1,4,4,42,327,2017-04-23T22:30:55Z,MDExOlB1bGxSZXF1ZXN0MTE3MTY4Njcy
