repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/golang/go,2018-02-13T15:15:32Z,CLOSED,1,11,4,2,29,2018-02-13T09:48:08Z,MDExOlB1bGxSZXF1ZXN0MTY4Nzk2OTA3
https://github.com/golang/go,2018-10-04T17:30:39Z,CLOSED,1,7,4,3,2,2018-03-28T23:22:58Z,MDExOlB1bGxSZXF1ZXN0MTc4MTkwNzg2
https://github.com/golang/go,2020-11-10T19:18:07Z,CLOSED,3,5,5,17,90,2018-10-02T17:24:09Z,MDExOlB1bGxSZXF1ZXN0MjE5NzgyOTI3
https://github.com/golang/go,2020-02-26T22:01:06Z,CLOSED,23,77,6,238,89,2018-10-15T19:54:50Z,MDExOlB1bGxSZXF1ZXN0MjIzMDIzNTY4
https://github.com/golang/go,2019-10-10T19:25:36Z,CLOSED,2,18,5,24,1,2018-10-26T15:11:14Z,MDExOlB1bGxSZXF1ZXN0MjI2MTMyNzgx
https://github.com/golang/go,2019-02-27T00:00:57Z,CLOSED,1,13,5,3,106,2018-11-04T09:56:39Z,MDExOlB1bGxSZXF1ZXN0MjI4MTY1MDMy
https://github.com/golang/go,2018-11-14T20:00:32Z,CLOSED,2,23,5,8,195,2018-11-10T00:36:04Z,MDExOlB1bGxSZXF1ZXN0MjI5ODU1ODYy
https://github.com/golang/go,2019-06-11T00:38:33Z,CLOSED,1,8,4,2,1,2019-01-10T04:00:06Z,MDExOlB1bGxSZXF1ZXN0MjQzNTU3Nzc4
https://github.com/golang/go,2019-02-27T20:56:07Z,CLOSED,1,11,4,2,0,2019-01-10T08:21:21Z,MDExOlB1bGxSZXF1ZXN0MjQzNTk4NzIx
https://github.com/golang/go,2019-02-03T16:08:23Z,CLOSED,1,10,4,6,0,2019-01-30T17:30:48Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0MTU3
https://github.com/golang/go,2019-02-04T12:39:51Z,CLOSED,1,5,4,3,0,2019-01-30T17:30:57Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0MjAy
https://github.com/golang/go,2019-02-26T23:18:18Z,CLOSED,1,18,5,22,0,2019-01-30T17:31:05Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0MjQ1
https://github.com/golang/go,2019-03-02T17:37:33Z,CLOSED,1,12,4,3,0,2019-01-30T17:31:21Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0MzMx
https://github.com/golang/go,2019-03-03T17:05:29Z,CLOSED,1,14,5,2,0,2019-01-30T17:32:06Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0NTgw
https://github.com/golang/go,2019-03-02T05:50:20Z,CLOSED,1,9,4,2,0,2019-01-30T17:32:18Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY0NjM1
https://github.com/golang/go,2019-03-05T02:48:48Z,CLOSED,1,12,4,12,0,2019-01-30T17:34:36Z,MDExOlB1bGxSZXF1ZXN0MjQ4OTY1MzQ2
https://github.com/golang/go,2019-03-07T07:36:53Z,CLOSED,1,12,4,12,0,2019-02-10T15:59:07Z,MDExOlB1bGxSZXF1ZXN0MjUxNzQ3MzY0
https://github.com/golang/go,2020-03-27T20:25:15Z,CLOSED,6,12,6,22,12,2019-02-17T08:44:22Z,MDExOlB1bGxSZXF1ZXN0MjUzNjk2OTAw
