repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/h5bp/html5-boilerplate,2011-12-30T14:53:34Z,MERGED,1,3,5,2,467,2011-12-07T18:11:38Z,MDExOlB1bGxSZXF1ZXN0NTY4Nzc4
https://github.com/h5bp/html5-boilerplate,2017-03-12T02:42:12Z,MERGED,1,5,6,2,520,2017-03-10T14:44:57Z,MDExOlB1bGxSZXF1ZXN0MTEwMTQxMzYz
https://github.com/h5bp/html5-boilerplate,2018-03-06T03:02:14Z,CLOSED,3,4,4,576,221,2017-03-25T21:15:35Z,MDExOlB1bGxSZXF1ZXN0MTEyNjAzMTU1
https://github.com/h5bp/html5-boilerplate,2017-05-28T12:54:45Z,MERGED,1,3,3,243,235,2017-04-21T14:17:53Z,MDExOlB1bGxSZXF1ZXN0MTE2OTk1Mjk5
https://github.com/h5bp/html5-boilerplate,2017-07-17T12:46:11Z,MERGED,1,1,3,2,882,2017-07-16T19:31:39Z,MDExOlB1bGxSZXF1ZXN0MTMwNzYzMDQw
https://github.com/h5bp/html5-boilerplate,2017-07-25T15:04:18Z,MERGED,1,0,2,21,27,2017-07-24T17:50:19Z,MDExOlB1bGxSZXF1ZXN0MTMyMTA3MjM0
https://github.com/h5bp/html5-boilerplate,2017-10-03T18:56:05Z,MERGED,1,1,3,2,907,2017-10-03T07:17:28Z,MDExOlB1bGxSZXF1ZXN0MTQ0MzUxOTM3
https://github.com/h5bp/html5-boilerplate,2017-11-08T01:54:07Z,MERGED,6,1,2,4,856,2017-10-25T11:34:03Z,MDExOlB1bGxSZXF1ZXN0MTQ4NjQxNzk4
https://github.com/h5bp/html5-boilerplate,2017-11-28T19:13:46Z,MERGED,3,1,3,50,1764,2017-11-22T14:19:15Z,MDExOlB1bGxSZXF1ZXN0MTU0MTY1NDQ1
https://github.com/h5bp/html5-boilerplate,2018-10-09T05:52:53Z,CLOSED,3,5,3,33,808,2018-02-14T11:23:12Z,MDExOlB1bGxSZXF1ZXN0MTY5MDg0MDA2
https://github.com/h5bp/html5-boilerplate,2018-05-01T01:35:02Z,MERGED,1,3,2,15,0,2018-03-29T15:16:43Z,MDExOlB1bGxSZXF1ZXN0MTc4MzU5OTg1
https://github.com/h5bp/html5-boilerplate,2018-04-17T17:19:36Z,MERGED,1,1,3,279,607,2018-04-17T09:30:24Z,MDExOlB1bGxSZXF1ZXN0MTgyMTA0OTYz
https://github.com/h5bp/html5-boilerplate,2018-07-07T00:23:37Z,CLOSED,2,3,5,31,1291,2018-04-19T01:19:20Z,MDExOlB1bGxSZXF1ZXN0MTgyNjQyNjU5
https://github.com/h5bp/html5-boilerplate,2018-05-16T18:15:10Z,MERGED,2,2,4,2,1470,2018-05-09T04:16:08Z,MDExOlB1bGxSZXF1ZXN0MTg2ODEzNjQx
https://github.com/h5bp/html5-boilerplate,2018-08-09T02:52:41Z,MERGED,1,4,3,10,224,2018-07-31T19:12:31Z,MDExOlB1bGxSZXF1ZXN0MjA1MjEzNjYy
https://github.com/h5bp/html5-boilerplate,2018-10-08T16:11:41Z,MERGED,1,15,4,34,1237,2018-08-29T11:59:04Z,MDExOlB1bGxSZXF1ZXN0MjExNzI3MjQ5
https://github.com/h5bp/html5-boilerplate,2018-09-18T03:02:23Z,MERGED,1,3,2,14,1362,2018-09-13T11:04:39Z,MDExOlB1bGxSZXF1ZXN0MjE1MjQ0NTgx
https://github.com/h5bp/html5-boilerplate,2018-09-18T17:12:32Z,MERGED,1,1,2,30,1004,2018-09-18T03:48:05Z,MDExOlB1bGxSZXF1ZXN0MjE2MTc1MDcw
https://github.com/h5bp/html5-boilerplate,2019-02-07T18:30:08Z,MERGED,1,3,4,417,1989,2018-10-04T03:39:17Z,MDExOlB1bGxSZXF1ZXN0MjIwMjQwNjkw
https://github.com/h5bp/html5-boilerplate,2018-10-22T16:23:56Z,CLOSED,2,0,3,4,1237,2018-10-19T12:30:05Z,MDExOlB1bGxSZXF1ZXN0MjI0MjcxMTE5
https://github.com/h5bp/html5-boilerplate,2018-11-01T11:08:05Z,MERGED,1,0,2,6,1119,2018-10-29T14:32:00Z,MDExOlB1bGxSZXF1ZXN0MjI2NTgyNTkx
https://github.com/h5bp/html5-boilerplate,2018-12-17T20:52:19Z,MERGED,1,0,3,4,657,2018-12-13T12:48:47Z,MDExOlB1bGxSZXF1ZXN0MjM4Mzc3ODU4
https://github.com/h5bp/html5-boilerplate,2019-02-14T03:16:15Z,MERGED,2,2,3,4,1074,2019-02-13T15:56:11Z,MDExOlB1bGxSZXF1ZXN0MjUyNzQ4NTg0
https://github.com/h5bp/html5-boilerplate,2019-02-20T19:15:38Z,MERGED,1,0,2,4,0,2019-02-20T04:10:28Z,MDExOlB1bGxSZXF1ZXN0MjU0NDkzNzEy
https://github.com/h5bp/html5-boilerplate,2019-02-20T21:15:42Z,MERGED,1,0,2,8,95,2019-02-20T06:25:31Z,MDExOlB1bGxSZXF1ZXN0MjU0NTE0Nzc4
https://github.com/h5bp/html5-boilerplate,2019-03-07T19:59:43Z,MERGED,1,4,3,4,1309,2019-03-05T06:42:07Z,MDExOlB1bGxSZXF1ZXN0MjU4MjAzMDMw
