repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/httpie/httpie,2017-02-07T19:50:44Z,MERGED,1,2,4,2,0,2016-07-27T00:54:46Z,MDExOlB1bGxSZXF1ZXN0Nzg5NDk4Njk=
https://github.com/httpie/httpie,2017-02-07T19:49:35Z,MERGED,1,1,3,2,31,2017-02-02T19:47:37Z,MDExOlB1bGxSZXF1ZXN0MTA0NDEwMTYx
https://github.com/httpie/httpie,2017-07-20T05:54:09Z,MERGED,1,3,4,3,124,2017-05-17T23:31:38Z,MDExOlB1bGxSZXF1ZXN0MTIxMTczNTM2
https://github.com/httpie/httpie,2018-10-27T14:37:13Z,CLOSED,1,1,3,4,34,2017-10-15T10:19:00Z,MDExOlB1bGxSZXF1ZXN0MTQ2NjQzMTkw
https://github.com/httpie/httpie,2018-02-22T12:09:40Z,CLOSED,1,3,4,2,0,2018-01-18T02:47:45Z,MDExOlB1bGxSZXF1ZXN0MTYzNjA2NTkz
https://github.com/httpie/httpie,2018-05-14T09:32:17Z,CLOSED,2,2,3,3,2444,2018-02-06T01:16:36Z,MDExOlB1bGxSZXF1ZXN0MTY3Mjk3MTA5
https://github.com/httpie/httpie,2018-03-01T07:15:25Z,CLOSED,1,3,3,154,115,2018-02-28T08:32:30Z,MDExOlB1bGxSZXF1ZXN0MTcxODg1NzQ3
https://github.com/httpie/httpie,2021-02-03T14:36:16Z,CLOSED,8,5,5,176,509,2018-03-01T08:19:50Z,MDExOlB1bGxSZXF1ZXN0MTcyMTY5NTY4
https://github.com/httpie/httpie,2018-07-25T12:02:00Z,MERGED,1,2,3,13,125,2018-07-21T06:14:44Z,MDExOlB1bGxSZXF1ZXN0MjAyOTk1NDEy
https://github.com/httpie/httpie,2020-06-16T09:05:44Z,CLOSED,3,1,3,20,151,2018-10-02T15:23:35Z,MDExOlB1bGxSZXF1ZXN0MjE5NzQ1MzEw
https://github.com/httpie/httpie,2018-10-31T18:17:45Z,MERGED,2,2,3,13,0,2018-10-31T06:16:11Z,MDExOlB1bGxSZXF1ZXN0MjI3MTcxMDMw
https://github.com/httpie/httpie,2019-12-02T17:12:52Z,MERGED,1,1,3,2,83,2019-08-01T13:39:48Z,MDExOlB1bGxSZXF1ZXN0MzAzMzkwNTA0
https://github.com/httpie/httpie,2020-04-13T16:15:17Z,MERGED,2,2,4,3,61,2020-03-29T00:09:04Z,MDExOlB1bGxSZXF1ZXN0Mzk1MTczODU1
https://github.com/httpie/httpie,2020-06-08T15:59:42Z,MERGED,3,3,2,41,335,2020-06-08T13:07:35Z,MDExOlB1bGxSZXF1ZXN0NDMxMTIyNDAz
https://github.com/httpie/httpie,2020-06-15T20:28:04Z,MERGED,5,1,3,146,102,2020-06-11T17:03:44Z,MDExOlB1bGxSZXF1ZXN0NDMzMjE3MDQ0
https://github.com/httpie/httpie,2020-06-18T21:17:34Z,MERGED,9,2,3,206,132,2020-06-15T20:22:43Z,MDExOlB1bGxSZXF1ZXN0NDM0NzY1ODQ1
https://github.com/httpie/httpie,2020-07-10T10:48:27Z,MERGED,1,1,2,103,173,2020-06-23T16:14:01Z,MDExOlB1bGxSZXF1ZXN0NDM4Njc2NDQx
https://github.com/httpie/httpie,2020-08-15T13:30:47Z,CLOSED,1,15,2,171,585,2020-06-27T16:34:55Z,MDExOlB1bGxSZXF1ZXN0NDQwOTMzNjM3
https://github.com/httpie/httpie,2021-02-06T09:50:35Z,MERGED,2,4,4,19,389,2021-02-05T12:14:46Z,MDExOlB1bGxSZXF1ZXN0NTY4MzE0MjU3
https://github.com/httpie/httpie,2021-02-18T11:55:15Z,MERGED,8,1,4,85,296,2021-02-12T14:43:33Z,MDExOlB1bGxSZXF1ZXN0NTcyNTY1NjIw
