repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/trekhleb/javascript-algorithms,2018-08-20T12:57:02Z,MERGED,1,5,5,68,0,2018-05-24T11:13:23Z,MDExOlB1bGxSZXF1ZXN0MTkwMjUyNzM0
https://github.com/trekhleb/javascript-algorithms,2018-05-29T05:38:20Z,MERGED,1,2,3,150,123,2018-05-28T18:29:39Z,MDExOlB1bGxSZXF1ZXN0MTkwOTc5ODcy
https://github.com/trekhleb/javascript-algorithms,2018-06-12T14:46:40Z,MERGED,2,1,4,38,26,2018-06-09T08:25:57Z,MDExOlB1bGxSZXF1ZXN0MTkzNzY1NzMy
https://github.com/trekhleb/javascript-algorithms,2018-06-14T15:45:28Z,CLOSED,2,2,2,2991,1121,2018-06-13T20:22:41Z,MDExOlB1bGxSZXF1ZXN0MTk0NzA0MTg1
https://github.com/trekhleb/javascript-algorithms,2018-07-03T08:56:35Z,MERGED,1,2,6,2,97,2018-07-01T12:57:01Z,MDExOlB1bGxSZXF1ZXN0MTk4NTIzMTg3
https://github.com/trekhleb/javascript-algorithms,2018-07-24T10:07:47Z,CLOSED,2,3,3,1047,0,2018-07-03T14:38:54Z,MDExOlB1bGxSZXF1ZXN0MTk4OTg2MTky
https://github.com/trekhleb/javascript-algorithms,2018-07-24T09:26:23Z,MERGED,5,3,3,8,512,2018-07-20T23:44:03Z,MDExOlB1bGxSZXF1ZXN0MjAyOTc4MzA2
https://github.com/trekhleb/javascript-algorithms,2018-07-30T09:20:41Z,MERGED,1,17,4,227,116,2018-07-24T19:02:53Z,MDExOlB1bGxSZXF1ZXN0MjAzNjI0MzIy
https://github.com/trekhleb/javascript-algorithms,2018-07-26T14:33:41Z,CLOSED,11,3,3,531,104,2018-07-25T19:37:37Z,MDExOlB1bGxSZXF1ZXN0MjAzOTQxMjQ3
https://github.com/trekhleb/javascript-algorithms,2018-08-06T13:19:25Z,CLOSED,5,3,3,7,60,2018-07-30T13:08:00Z,MDExOlB1bGxSZXF1ZXN0MjA0Nzk4Mzgz
https://github.com/trekhleb/javascript-algorithms,2018-10-29T22:09:22Z,CLOSED,3,1,4,62,194,2018-08-03T03:11:31Z,MDExOlB1bGxSZXF1ZXN0MjA1OTE0MTAz
https://github.com/trekhleb/javascript-algorithms,2019-10-14T13:01:34Z,CLOSED,1,2,3,55,53,2018-08-11T17:38:42Z,MDExOlB1bGxSZXF1ZXN0MjA3Nzg0OTcx
