repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/jquery/jquery,2013-04-17T15:55:37Z,CLOSED,1,2,7,125,350,2012-12-02T05:15:57Z,MDExOlB1bGxSZXF1ZXN0MzIwMTkyMQ==
https://github.com/jquery/jquery,2016-11-30T11:22:56Z,CLOSED,6,13,7,40,11,2016-08-14T10:56:25Z,MDExOlB1bGxSZXF1ZXN0ODEyNDA0ODc=
https://github.com/jquery/jquery,2017-02-13T15:56:26Z,CLOSED,1,5,7,25,19,2016-08-31T04:04:52Z,MDExOlB1bGxSZXF1ZXN0ODMzODU0OTY=
https://github.com/jquery/jquery,2017-03-18T17:49:22Z,CLOSED,2,7,7,57,563,2016-09-25T05:54:58Z,MDExOlB1bGxSZXF1ZXN0ODY2NDEwNDE=
https://github.com/jquery/jquery,2016-12-13T06:32:11Z,MERGED,2,7,9,53,743,2016-10-19T07:11:51Z,MDExOlB1bGxSZXF1ZXN0ODk5NTMyMzY=
https://github.com/jquery/jquery,2016-10-31T17:35:48Z,CLOSED,3,1,4,2,660,2016-10-21T18:56:28Z,MDExOlB1bGxSZXF1ZXN0OTA0MjcwNjk=
https://github.com/jquery/jquery,2016-12-19T01:16:26Z,MERGED,23,10,7,127,1007,2016-11-02T23:52:45Z,MDExOlB1bGxSZXF1ZXN0OTIwNzc1OTk=
https://github.com/jquery/jquery,2016-12-08T02:48:17Z,CLOSED,11,3,5,14,215,2016-11-24T09:55:34Z,MDExOlB1bGxSZXF1ZXN0OTUxNDcwMzE=
https://github.com/jquery/jquery,2016-12-05T18:21:02Z,CLOSED,11,8,5,102,882,2016-12-03T22:48:12Z,MDExOlB1bGxSZXF1ZXN0OTY0MTM1ODM=
https://github.com/jquery/jquery,2016-12-05T17:53:02Z,CLOSED,2,2,3,6,1140,2016-12-04T00:21:40Z,MDExOlB1bGxSZXF1ZXN0OTY0MTYxMTk=
https://github.com/jquery/jquery,2017-01-09T16:45:31Z,MERGED,2,2,5,4,995,2016-12-07T16:10:19Z,MDExOlB1bGxSZXF1ZXN0OTY5NTQwMDU=
https://github.com/jquery/jquery,2016-12-16T16:45:36Z,MERGED,5,1,3,18,13,2016-12-11T00:16:15Z,MDExOlB1bGxSZXF1ZXN0OTc0NDMxMTQ=
https://github.com/jquery/jquery,2016-12-19T17:00:47Z,MERGED,7,1,4,20,13,2016-12-16T17:03:01Z,MDExOlB1bGxSZXF1ZXN0OTgzNjkwMjg=
https://github.com/jquery/jquery,2017-01-29T22:32:16Z,MERGED,28,8,6,65,492,2016-12-20T12:55:56Z,MDExOlB1bGxSZXF1ZXN0OTg3NDM1NzI=
https://github.com/jquery/jquery,2017-01-09T19:37:13Z,MERGED,5,2,5,23,466,2016-12-20T18:15:38Z,MDExOlB1bGxSZXF1ZXN0OTg3OTkxMTY=
https://github.com/jquery/jquery,2017-01-09T19:33:40Z,MERGED,1,6,5,23,13,2016-12-23T05:27:55Z,MDExOlB1bGxSZXF1ZXN0OTkyMDQyNTE=
https://github.com/jquery/jquery,2016-12-29T20:03:41Z,CLOSED,3,3,4,28,425,2016-12-24T16:41:51Z,MDExOlB1bGxSZXF1ZXN0OTkzMDcxNTg=
https://github.com/jquery/jquery,2016-12-30T12:59:38Z,MERGED,1,4,3,40,860,2016-12-30T11:17:57Z,MDExOlB1bGxSZXF1ZXN0OTk3NDMwODg=
https://github.com/jquery/jquery,2017-04-24T16:15:39Z,MERGED,1,5,4,367,804,2017-01-05T08:34:08Z,MDExOlB1bGxSZXF1ZXN0MTAwMjUxNDAw
https://github.com/jquery/jquery,2017-01-09T19:23:48Z,MERGED,1,5,4,67,28,2017-01-05T08:56:59Z,MDExOlB1bGxSZXF1ZXN0MTAwMjUzODE4
https://github.com/jquery/jquery,2017-01-19T22:29:28Z,CLOSED,5,6,4,18,803,2017-01-11T22:34:13Z,MDExOlB1bGxSZXF1ZXN0MTAxMTYxMDk0
https://github.com/jquery/jquery,2017-01-16T18:18:49Z,MERGED,4,4,4,56,603,2017-01-12T14:58:49Z,MDExOlB1bGxSZXF1ZXN0MTAxMjc0Njg5
https://github.com/jquery/jquery,2017-03-01T10:54:24Z,CLOSED,4,15,5,92,370,2017-01-17T18:20:44Z,MDExOlB1bGxSZXF1ZXN0MTAxOTE4NzE1
https://github.com/jquery/jquery,2017-02-13T15:53:38Z,CLOSED,1,1,3,2,15,2017-02-06T16:53:39Z,MDExOlB1bGxSZXF1ZXN0MTA0ODM3MzQ4
https://github.com/jquery/jquery,2017-03-07T14:05:04Z,MERGED,16,4,5,108,900,2017-03-01T23:33:52Z,MDExOlB1bGxSZXF1ZXN0MTA4NjU0MTgx
https://github.com/jquery/jquery,2017-03-06T18:17:49Z,CLOSED,3,3,4,51,3218,2017-03-06T01:09:33Z,MDExOlB1bGxSZXF1ZXN0MTA5MTc1NTYw
https://github.com/jquery/jquery,2017-03-13T17:33:51Z,CLOSED,14,2,4,54,733,2017-03-06T23:25:09Z,MDExOlB1bGxSZXF1ZXN0MTA5MzcyOTI2
https://github.com/jquery/jquery,2017-05-06T18:52:08Z,MERGED,1,4,4,4,895,2017-03-15T15:32:53Z,MDExOlB1bGxSZXF1ZXN0MTEwODcyMTg3
https://github.com/jquery/jquery,2017-03-20T15:38:08Z,CLOSED,4,3,5,81,537,2017-03-18T17:48:15Z,MDExOlB1bGxSZXF1ZXN0MTExNDE4ODQz
https://github.com/jquery/jquery,2017-03-20T16:16:49Z,CLOSED,9,2,4,24,341,2017-03-18T18:22:16Z,MDExOlB1bGxSZXF1ZXN0MTExNDIwMDU0
https://github.com/jquery/jquery,2017-03-20T22:32:44Z,MERGED,1,1,2,2,243,2017-03-20T20:05:21Z,MDExOlB1bGxSZXF1ZXN0MTExNjM4ODgy
https://github.com/jquery/jquery,2017-07-24T15:46:21Z,CLOSED,4,3,5,22,91,2017-03-23T14:02:51Z,MDExOlB1bGxSZXF1ZXN0MTEyMjQ0ODAy
https://github.com/jquery/jquery,2017-04-03T10:34:18Z,CLOSED,4,2,3,13,464,2017-04-01T04:29:42Z,MDExOlB1bGxSZXF1ZXN0MTEzNzYzMTcx
https://github.com/jquery/jquery,2017-12-04T21:44:39Z,CLOSED,1,14,5,124,203,2017-04-02T03:29:40Z,MDExOlB1bGxSZXF1ZXN0MTEzODAzNzIy
https://github.com/jquery/jquery,2017-04-24T16:39:25Z,MERGED,25,6,6,117,631,2017-04-08T03:30:02Z,MDExOlB1bGxSZXF1ZXN0MTE0OTI5NDk5
https://github.com/jquery/jquery,2017-06-20T05:23:24Z,MERGED,3,6,5,9,281,2017-05-04T16:33:14Z,MDExOlB1bGxSZXF1ZXN0MTE5MDE1NTgx
https://github.com/jquery/jquery,2017-05-15T18:37:15Z,MERGED,15,3,5,87,874,2017-05-06T19:33:03Z,MDExOlB1bGxSZXF1ZXN0MTE5MzEzMjQ0
https://github.com/jquery/jquery,2017-06-05T15:37:24Z,CLOSED,1,8,5,7,1465,2017-05-11T12:42:56Z,MDExOlB1bGxSZXF1ZXN0MTIwMDk2NzA4
https://github.com/jquery/jquery,2017-06-05T15:47:54Z,CLOSED,1,3,4,4,532,2017-05-19T20:33:21Z,MDExOlB1bGxSZXF1ZXN0MTIxNTc3NDM4
