repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/laravel/laravel,2016-09-15T13:51:46Z,CLOSED,1,6,6,2,73,2016-09-14T18:49:22Z,MDExOlB1bGxSZXF1ZXN0ODUyODM3NzA=
https://github.com/laravel/laravel,2016-09-20T13:41:42Z,CLOSED,6,11,10,8,0,2016-09-18T20:48:27Z,MDExOlB1bGxSZXF1ZXN0ODU3MjIzNTE=
https://github.com/laravel/laravel,2016-09-20T13:28:29Z,MERGED,1,0,4,2,0,2016-09-20T06:24:45Z,MDExOlB1bGxSZXF1ZXN0ODU5MTc0MjE=
https://github.com/laravel/laravel,2016-10-04T16:06:23Z,MERGED,8,6,10,14,151,2016-10-03T02:40:16Z,MDExOlB1bGxSZXF1ZXN0ODc2NTcyMTU=
https://github.com/laravel/laravel,2016-10-07T21:39:09Z,MERGED,2,10,7,2,43,2016-10-07T13:09:10Z,MDExOlB1bGxSZXF1ZXN0ODg0MzUyMDQ=
https://github.com/laravel/laravel,2016-10-16T13:44:42Z,CLOSED,2,2,3,2,95,2016-10-16T06:07:47Z,MDExOlB1bGxSZXF1ZXN0ODk1MTcxNzY=
https://github.com/laravel/laravel,2016-11-13T14:59:54Z,CLOSED,1,10,10,7,187,2016-11-13T10:12:02Z,MDExOlB1bGxSZXF1ZXN0OTM0NjgzNjc=
https://github.com/laravel/laravel,2016-12-03T15:50:57Z,CLOSED,1,7,8,2,0,2016-12-03T12:04:44Z,MDExOlB1bGxSZXF1ZXN0OTYzOTU4NTI=
https://github.com/laravel/laravel,2017-01-06T14:25:03Z,CLOSED,1,1,3,9,98,2017-01-06T09:52:42Z,MDExOlB1bGxSZXF1ZXN0MTAwNDM0NzM3
https://github.com/laravel/laravel,2017-01-23T14:09:29Z,MERGED,1,4,4,2,92,2017-01-23T00:14:00Z,MDExOlB1bGxSZXF1ZXN0MTAyNjQyODkw
https://github.com/laravel/laravel,2017-01-25T13:08:05Z,MERGED,1,0,3,8,47,2017-01-25T10:06:49Z,MDExOlB1bGxSZXF1ZXN0MTAzMDg3ODYx
