repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/lodash/lodash,2016-10-20T19:03:13Z,MERGED,2,5,2,12,0,2016-10-20T15:39:34Z,MDExOlB1bGxSZXF1ZXN0OTAyMjYyNjE=
https://github.com/lodash/lodash,2016-11-07T00:43:26Z,MERGED,2,2,2,18,295,2016-11-06T22:55:50Z,MDExOlB1bGxSZXF1ZXN0OTI1MDY0NTQ=
https://github.com/lodash/lodash,2016-11-24T21:12:14Z,MERGED,2,3,3,2,11,2016-11-24T20:09:28Z,MDExOlB1bGxSZXF1ZXN0OTUyMjQyOTA=
https://github.com/lodash/lodash,2017-01-16T00:27:43Z,MERGED,1,8,2,101,168,2017-01-13T18:51:25Z,MDExOlB1bGxSZXF1ZXN0MTAxNDk2OTYw
https://github.com/lodash/lodash,2017-02-09T16:19:32Z,MERGED,1,2,3,10,5,2017-02-09T10:58:22Z,MDExOlB1bGxSZXF1ZXN0MTA1NDAzNjY4
https://github.com/lodash/lodash,2017-02-09T16:18:21Z,CLOSED,1,5,3,6,154,2017-02-09T12:40:14Z,MDExOlB1bGxSZXF1ZXN0MTA1NDE5MjQ0
https://github.com/lodash/lodash,2017-02-11T19:42:20Z,MERGED,1,2,3,2,160,2017-02-11T16:24:13Z,MDExOlB1bGxSZXF1ZXN0MTA1NzU4NDI2
https://github.com/lodash/lodash,2016-10-20T19:03:13Z,MERGED,2,5,2,12,0,2016-10-20T15:39:34Z,MDExOlB1bGxSZXF1ZXN0OTAyMjYyNjE=
https://github.com/lodash/lodash,2016-11-07T00:43:26Z,MERGED,2,2,2,18,295,2016-11-06T22:55:50Z,MDExOlB1bGxSZXF1ZXN0OTI1MDY0NTQ=
https://github.com/lodash/lodash,2016-11-24T21:12:14Z,MERGED,2,3,3,2,11,2016-11-24T20:09:28Z,MDExOlB1bGxSZXF1ZXN0OTUyMjQyOTA=
https://github.com/lodash/lodash,2017-01-16T00:27:43Z,MERGED,1,8,2,101,168,2017-01-13T18:51:25Z,MDExOlB1bGxSZXF1ZXN0MTAxNDk2OTYw
https://github.com/lodash/lodash,2017-02-09T16:19:32Z,MERGED,1,2,3,10,5,2017-02-09T10:58:22Z,MDExOlB1bGxSZXF1ZXN0MTA1NDAzNjY4
https://github.com/lodash/lodash,2017-02-09T16:18:21Z,CLOSED,1,5,3,6,154,2017-02-09T12:40:14Z,MDExOlB1bGxSZXF1ZXN0MTA1NDE5MjQ0
https://github.com/lodash/lodash,2017-02-11T19:42:20Z,MERGED,1,2,3,2,160,2017-02-11T16:24:13Z,MDExOlB1bGxSZXF1ZXN0MTA1NzU4NDI2
https://github.com/lodash/lodash,2017-07-17T01:11:00Z,MERGED,1,4,3,2,35,2017-07-16T22:16:42Z,MDExOlB1bGxSZXF1ZXN0MTMwNzY4NDQ5
https://github.com/lodash/lodash,2017-08-10T14:30:35Z,CLOSED,1,3,3,3,85,2017-08-08T19:42:34Z,MDExOlB1bGxSZXF1ZXN0MTM0NzQyMjcy
https://github.com/lodash/lodash,2017-08-23T16:52:19Z,CLOSED,2,2,4,2,804,2017-08-23T15:43:53Z,MDExOlB1bGxSZXF1ZXN0MTM3MjUyNzcz
https://github.com/lodash/lodash,2017-10-09T16:36:30Z,CLOSED,1,2,3,5,139,2017-10-09T15:26:55Z,MDExOlB1bGxSZXF1ZXN0MTQ1NDgyNjE0
https://github.com/lodash/lodash,2017-11-02T17:49:53Z,CLOSED,3,17,7,11,626,2017-11-01T22:24:22Z,MDExOlB1bGxSZXF1ZXN0MTUwMTYxNjU3
https://github.com/lodash/lodash,2017-11-07T14:28:18Z,MERGED,5,2,4,3,209,2017-11-07T06:13:40Z,MDExOlB1bGxSZXF1ZXN0MTUxMDMyNDUz
https://github.com/lodash/lodash,2018-05-01T19:22:50Z,MERGED,1,5,4,23,996,2018-04-22T22:16:54Z,MDExOlB1bGxSZXF1ZXN0MTgzMjk3NDEx
https://github.com/lodash/lodash,2018-08-31T06:58:55Z,CLOSED,2,9,5,1566,73,2018-06-20T20:28:54Z,MDExOlB1bGxSZXF1ZXN0MTk2MjYyODc0
https://github.com/lodash/lodash,2018-07-10T16:47:20Z,MERGED,1,4,3,4,186,2018-07-10T04:58:18Z,MDExOlB1bGxSZXF1ZXN0MjAwMjgzMTUw
https://github.com/lodash/lodash,2018-08-31T06:59:18Z,CLOSED,2,15,7,18,289,2018-08-28T23:10:42Z,MDExOlB1bGxSZXF1ZXN0MjExNTg0MzIx
https://github.com/lodash/lodash,2018-11-18T03:33:36Z,MERGED,24,3,2,15,42,2018-11-14T04:18:49Z,MDExOlB1bGxSZXF1ZXN0MjMwNzA1Mjgy
