repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/nodejs/node,2015-06-16T14:33:21Z,CLOSED,2,6,3,6137,337,2015-06-04T16:06:53Z,MDExOlB1bGxSZXF1ZXN0MzY5NTA0OTY=
https://github.com/nodejs/node,2016-12-11T14:25:53Z,CLOSED,1,151,48,4516,530,2015-07-08T12:31:57Z,MDExOlB1bGxSZXF1ZXN0Mzk0NzE1NjQ=
https://github.com/nodejs/node,2016-04-18T23:52:16Z,CLOSED,2,24,9,14,203,2015-08-17T04:01:53Z,MDExOlB1bGxSZXF1ZXN0NDI1NTI2OTE=
https://github.com/nodejs/node,2017-05-26T16:08:03Z,CLOSED,14,119,26,263,1262,2015-08-25T01:59:16Z,MDExOlB1bGxSZXF1ZXN0NDMyNDIyNzQ=
https://github.com/nodejs/node,2017-06-07T18:28:22Z,CLOSED,4,9,10,30,11,2015-09-15T17:33:30Z,MDExOlB1bGxSZXF1ZXN0NDUwNzg2ODc=
https://github.com/nodejs/node,2017-03-17T21:03:28Z,CLOSED,5,22,8,73,1309,2015-09-21T14:10:33Z,MDExOlB1bGxSZXF1ZXN0NDU1NTI5NDU=
https://github.com/nodejs/node,2015-06-16T14:33:21Z,CLOSED,2,6,3,6137,337,2015-06-04T16:06:53Z,MDExOlB1bGxSZXF1ZXN0MzY5NTA0OTY=
https://github.com/nodejs/node,2016-12-11T14:25:53Z,CLOSED,1,151,48,4516,530,2015-07-08T12:31:57Z,MDExOlB1bGxSZXF1ZXN0Mzk0NzE1NjQ=
https://github.com/nodejs/node,2016-04-18T23:52:16Z,CLOSED,2,24,9,14,203,2015-08-17T04:01:53Z,MDExOlB1bGxSZXF1ZXN0NDI1NTI2OTE=
https://github.com/nodejs/node,2017-05-26T16:08:03Z,CLOSED,14,119,26,263,1262,2015-08-25T01:59:16Z,MDExOlB1bGxSZXF1ZXN0NDMyNDIyNzQ=
https://github.com/nodejs/node,2017-06-07T18:28:22Z,CLOSED,4,9,10,30,11,2015-09-15T17:33:30Z,MDExOlB1bGxSZXF1ZXN0NDUwNzg2ODc=
https://github.com/nodejs/node,2017-03-17T21:03:28Z,CLOSED,5,22,8,73,1309,2015-09-21T14:10:33Z,MDExOlB1bGxSZXF1ZXN0NDU1NTI5NDU=
