repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/goldbergyoni/nodebestpractices,2017-11-03T15:28:15Z,MERGED,1,1,3,2,54,2017-11-03T05:29:59Z,MDExOlB1bGxSZXF1ZXN0MTUwNDU3NTU1
https://github.com/goldbergyoni/nodebestpractices,2017-11-03T15:31:24Z,MERGED,1,1,3,2,0,2017-11-03T10:53:36Z,MDExOlB1bGxSZXF1ZXN0MTUwNDk4OTM2
https://github.com/goldbergyoni/nodebestpractices,2017-11-03T15:32:48Z,MERGED,1,1,3,4,48,2017-11-03T14:26:53Z,MDExOlB1bGxSZXF1ZXN0MTUwNTQxMDM2
https://github.com/goldbergyoni/nodebestpractices,2019-04-04T07:50:50Z,CLOSED,3,20,6,268,55,2017-11-03T20:06:10Z,MDExOlB1bGxSZXF1ZXN0MTUwNjE3NzQx
https://github.com/goldbergyoni/nodebestpractices,2017-11-05T21:19:01Z,MERGED,1,3,3,85,40,2017-11-04T12:01:21Z,MDExOlB1bGxSZXF1ZXN0MTUwNjczNzQ0
https://github.com/goldbergyoni/nodebestpractices,2017-11-04T21:00:51Z,MERGED,1,1,3,8,145,2017-11-04T17:33:15Z,MDExOlB1bGxSZXF1ZXN0MTUwNjg2MzYz
https://github.com/goldbergyoni/nodebestpractices,2017-11-05T15:49:28Z,MERGED,1,0,3,2,0,2017-11-04T21:57:40Z,MDExOlB1bGxSZXF1ZXN0MTUwNjk2NzY2
https://github.com/goldbergyoni/nodebestpractices,2017-11-09T20:21:00Z,MERGED,1,5,3,54,0,2017-11-06T18:24:01Z,MDExOlB1bGxSZXF1ZXN0MTUwOTI0NTc1
https://github.com/goldbergyoni/nodebestpractices,2017-11-08T19:54:03Z,MERGED,1,1,2,12,151,2017-11-08T06:20:46Z,MDExOlB1bGxSZXF1ZXN0MTUxMzAxOTUw
https://github.com/goldbergyoni/nodebestpractices,2018-09-19T08:36:36Z,CLOSED,1,7,5,10,0,2017-11-08T13:39:48Z,MDExOlB1bGxSZXF1ZXN0MTUxMzg0NzY3
