repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/public-apis/public-apis,2016-10-18T13:10:41Z,MERGED,2,3,2,81,376,2016-10-18T02:59:48Z,MDExOlB1bGxSZXF1ZXN0ODk3Mzg5MTA=
https://github.com/public-apis/public-apis,2016-11-08T17:57:20Z,MERGED,1,1,2,7,124,2016-11-07T09:35:08Z,MDExOlB1bGxSZXF1ZXN0OTI1NDkzNTA=
https://github.com/public-apis/public-apis,2017-06-05T02:34:07Z,CLOSED,2,14,5,1327,335,2016-12-29T08:59:31Z,MDExOlB1bGxSZXF1ZXN0OTk2MzIyNDc=
https://github.com/public-apis/public-apis,2017-03-03T18:00:30Z,MERGED,1,2,2,2,0,2017-03-02T17:41:31Z,MDExOlB1bGxSZXF1ZXN0MTA4ODEzMDY2
https://github.com/public-apis/public-apis,2017-04-01T19:39:35Z,MERGED,1,1,3,6,0,2017-03-30T14:10:14Z,MDExOlB1bGxSZXF1ZXN0MTEzNDM3NjY2
https://github.com/public-apis/public-apis,2017-04-27T07:49:13Z,MERGED,2,9,4,7,129,2017-04-18T17:44:35Z,MDExOlB1bGxSZXF1ZXN0MTE2MzgyNjA1
https://github.com/public-apis/public-apis,2017-04-20T14:51:51Z,MERGED,1,3,3,3,126,2017-04-20T02:11:23Z,MDExOlB1bGxSZXF1ZXN0MTE2Njc3NDk3
https://github.com/public-apis/public-apis,2017-06-03T16:25:26Z,MERGED,1,4,2,2461,508,2017-05-25T15:55:49Z,MDExOlB1bGxSZXF1ZXN0MTIyNDY5MjU3
https://github.com/public-apis/public-apis,2017-07-03T03:55:22Z,MERGED,1,7,4,2532,34,2017-06-03T16:29:46Z,MDExOlB1bGxSZXF1ZXN0MTIzODQ3ODg1
https://github.com/public-apis/public-apis,2017-08-02T17:35:53Z,CLOSED,1,15,4,2565,606,2017-07-05T06:19:14Z,MDExOlB1bGxSZXF1ZXN0MTI4ODg5NTE2
https://github.com/public-apis/public-apis,2017-07-10T15:08:52Z,MERGED,2,1,2,77,780,2017-07-10T05:50:06Z,MDExOlB1bGxSZXF1ZXN0MTI5NjA1MDk5
https://github.com/public-apis/public-apis,2017-08-06T02:06:48Z,MERGED,2,6,4,20,124,2017-07-26T19:26:46Z,MDExOlB1bGxSZXF1ZXN0MTMyNTk0NTUy
https://github.com/public-apis/public-apis,2017-07-28T14:34:21Z,MERGED,1,4,4,1,840,2017-07-27T19:05:28Z,MDExOlB1bGxSZXF1ZXN0MTMyODIyNjMy
https://github.com/public-apis/public-apis,2018-01-14T17:53:31Z,CLOSED,3,4,3,166,0,2017-07-27T23:57:29Z,MDExOlB1bGxSZXF1ZXN0MTMyODY5OTM5
https://github.com/public-apis/public-apis,2017-08-04T16:55:46Z,MERGED,2,8,4,3,220,2017-08-04T05:13:47Z,MDExOlB1bGxSZXF1ZXN0MTM0MDkyMTE2
