repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/facebook/react-native,2016-01-12T16:25:53Z,CLOSED,2,21,20,5,147,2016-01-10T06:03:28Z,MDExOlB1bGxSZXF1ZXN0NTU1NTg3ODU=
https://github.com/facebook/react-native,2016-10-26T15:44:55Z,CLOSED,1,17,7,35,75,2016-02-08T19:30:42Z,MDExOlB1bGxSZXF1ZXN0NTg2NTU0MTY=
https://github.com/facebook/react-native,2016-12-15T04:56:32Z,CLOSED,1,15,9,76,660,2016-03-04T04:21:06Z,MDExOlB1bGxSZXF1ZXN0NjE2NjU1MzM=
https://github.com/facebook/react-native,2016-09-26T23:14:37Z,CLOSED,2,19,4,13,1188,2016-04-10T20:31:41Z,MDExOlB1bGxSZXF1ZXN0NjU5MjE5MTI=
https://github.com/facebook/react-native,2016-12-12T13:47:11Z,CLOSED,1,14,8,17,26,2016-04-23T19:26:46Z,MDExOlB1bGxSZXF1ZXN0Njc2MTU5OTc=
https://github.com/facebook/react-native,2016-12-15T19:19:50Z,CLOSED,1,30,9,56,174,2016-05-02T05:07:19Z,MDExOlB1bGxSZXF1ZXN0Njg1MjI4NzQ=
https://github.com/facebook/react-native,2016-12-16T00:25:18Z,CLOSED,2,28,16,467,405,2016-05-09T16:46:14Z,MDExOlB1bGxSZXF1ZXN0NjkzNzUyNjM=
https://github.com/facebook/react-native,2016-11-15T00:22:59Z,CLOSED,1,17,6,699,368,2016-05-19T02:54:39Z,MDExOlB1bGxSZXF1ZXN0NzA2MzAwMjA=
https://github.com/facebook/react-native,2017-02-18T15:45:19Z,CLOSED,12,53,22,200,806,2016-05-27T01:40:13Z,MDExOlB1bGxSZXF1ZXN0NzE2NDkyMzY=
https://github.com/facebook/react-native,2016-06-06T01:58:41Z,CLOSED,1,5,5,94,26,2016-06-06T00:49:07Z,MDExOlB1bGxSZXF1ZXN0NzI2NDU3OTI=
https://github.com/facebook/react-native,2016-12-15T20:58:11Z,CLOSED,2,9,5,3,696,2016-06-07T13:05:10Z,MDExOlB1bGxSZXF1ZXN0NzI4NzEwNzg=
https://github.com/facebook/react-native,2016-10-27T04:44:16Z,CLOSED,2,44,9,105,1510,2016-06-10T00:12:27Z,MDExOlB1bGxSZXF1ZXN0NzMzMDYwNjQ=
https://github.com/facebook/react-native,2016-11-21T18:52:33Z,CLOSED,1,13,5,42,521,2016-06-17T14:52:07Z,MDExOlB1bGxSZXF1ZXN0NzQyNTUxMzk=
https://github.com/facebook/react-native,2016-11-07T15:39:50Z,CLOSED,11,35,10,66,196,2016-06-24T07:10:39Z,MDExOlB1bGxSZXF1ZXN0NzUwNzMxMjk=
https://github.com/facebook/react-native,2017-01-19T22:44:09Z,CLOSED,2,9,4,25,220,2016-07-14T13:23:38Z,MDExOlB1bGxSZXF1ZXN0Nzc0NTUxMjQ=
https://github.com/facebook/react-native,2017-02-09T01:18:55Z,CLOSED,1,16,9,35,483,2016-07-14T23:26:43Z,MDExOlB1bGxSZXF1ZXN0Nzc1NDI1NTI=
https://github.com/facebook/react-native,2016-09-21T08:19:53Z,CLOSED,2,23,8,12,227,2016-07-19T12:14:32Z,MDExOlB1bGxSZXF1ZXN0Nzc5NjUxOTU=
https://github.com/facebook/react-native,2016-11-08T16:44:04Z,CLOSED,4,14,10,14,686,2016-07-19T19:42:13Z,MDExOlB1bGxSZXF1ZXN0NzgwMzY2MTA=
https://github.com/facebook/react-native,2017-05-15T16:42:53Z,CLOSED,1,17,13,12,93,2016-07-19T23:38:24Z,MDExOlB1bGxSZXF1ZXN0NzgwNjczMjE=
