repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/gothinkster/realworld,2017-04-20T16:52:38Z,MERGED,1,0,2,10,0,2017-04-20T02:59:48Z,MDExOlB1bGxSZXF1ZXN0MTE2NjgxNjAy
https://github.com/gothinkster/realworld,2017-11-12T22:12:00Z,MERGED,1,0,2,14,94,2017-11-12T04:56:47Z,MDExOlB1bGxSZXF1ZXN0MTUyMDg5MDM3
https://github.com/gothinkster/realworld,2017-11-15T19:01:10Z,MERGED,1,5,3,5,60,2017-11-13T23:48:02Z,MDExOlB1bGxSZXF1ZXN0MTUyMzc4Mjgy
https://github.com/gothinkster/realworld,2018-04-16T21:02:36Z,MERGED,1,1,2,2,0,2018-04-16T15:02:48Z,MDExOlB1bGxSZXF1ZXN0MTgxODk2Mzgy
https://github.com/gothinkster/realworld,2018-05-06T03:44:31Z,MERGED,1,1,2,3,0,2018-05-04T09:21:51Z,MDExOlB1bGxSZXF1ZXN0MTg1OTMwNzM2
https://github.com/gothinkster/realworld,2018-06-04T13:10:52Z,MERGED,1,1,2,403,433,2018-06-01T13:17:50Z,MDExOlB1bGxSZXF1ZXN0MTkyMDMxOTUy
https://github.com/gothinkster/realworld,2018-06-04T20:15:20Z,MERGED,1,0,2,41,0,2018-06-04T15:18:42Z,MDExOlB1bGxSZXF1ZXN0MTkyNDQyODM0
https://github.com/gothinkster/realworld,2018-07-02T16:02:07Z,MERGED,2,2,3,28,0,2018-07-02T04:52:41Z,MDExOlB1bGxSZXF1ZXN0MTk4NTcyMzY0
https://github.com/gothinkster/realworld,2018-10-29T17:55:30Z,CLOSED,1,3,2,109,328,2018-07-18T02:16:36Z,MDExOlB1bGxSZXF1ZXN0MjAyMTIwNzU0
https://github.com/gothinkster/realworld,2018-08-04T21:29:19Z,MERGED,1,1,2,5,0,2018-08-04T19:48:47Z,MDExOlB1bGxSZXF1ZXN0MjA2MjA3MTc1
https://github.com/gothinkster/realworld,2018-08-08T23:02:00Z,MERGED,1,1,2,25,42,2018-08-07T21:51:59Z,MDExOlB1bGxSZXF1ZXN0MjA2ODM3MzA0
https://github.com/gothinkster/realworld,2018-09-01T21:58:19Z,MERGED,1,1,2,1187,102,2018-08-22T18:25:48Z,MDExOlB1bGxSZXF1ZXN0MjEwMjIyOTcy
https://github.com/gothinkster/realworld,2018-10-29T17:49:50Z,MERGED,1,1,4,78,878,2018-08-30T23:24:33Z,MDExOlB1bGxSZXF1ZXN0MjEyMjM3Mzkz
https://github.com/gothinkster/realworld,2018-08-31T15:08:12Z,MERGED,1,0,2,3,12,2018-08-31T00:07:27Z,MDExOlB1bGxSZXF1ZXN0MjEyMjQzMTQz
https://github.com/gothinkster/realworld,2018-10-23T02:45:26Z,MERGED,1,0,2,3,0,2018-10-23T00:34:54Z,MDExOlB1bGxSZXF1ZXN0MjI0ODU1ODE0
https://github.com/gothinkster/realworld,2018-10-29T16:09:47Z,MERGED,1,2,3,3,0,2018-10-28T16:23:20Z,MDExOlB1bGxSZXF1ZXN0MjI2Mzc4OTI0
https://github.com/gothinkster/realworld,2018-11-05T18:08:02Z,MERGED,1,0,2,76,727,2018-10-30T17:23:58Z,MDExOlB1bGxSZXF1ZXN0MjI3MDEyODE0
https://github.com/gothinkster/realworld,2018-11-05T17:51:25Z,MERGED,1,1,2,2,93,2018-11-03T22:34:57Z,MDExOlB1bGxSZXF1ZXN0MjI4MTQ1Mjc0
https://github.com/gothinkster/realworld,2018-12-05T15:12:48Z,MERGED,1,1,3,3,253,2018-11-06T14:20:28Z,MDExOlB1bGxSZXF1ZXN0MjI4NzA3NTQ4
https://github.com/gothinkster/realworld,2019-01-12T01:04:59Z,MERGED,1,4,3,30,576,2019-01-11T20:34:47Z,MDExOlB1bGxSZXF1ZXN0MjQ0MTQyMDM0
https://github.com/gothinkster/realworld,2019-02-25T14:42:52Z,MERGED,1,3,3,5,0,2019-02-22T14:41:15Z,MDExOlB1bGxSZXF1ZXN0MjU1NDE3ODUw
https://github.com/gothinkster/realworld,2019-11-19T16:09:38Z,MERGED,2,2,3,2,0,2019-11-17T14:18:34Z,MDExOlB1bGxSZXF1ZXN0MzQxODU4MDgz
https://github.com/gothinkster/realworld,2020-05-19T22:57:51Z,MERGED,1,0,2,3,0,2020-04-07T18:37:03Z,MDExOlB1bGxSZXF1ZXN0NDAwNDM0OTk4
https://github.com/gothinkster/realworld,2021-01-25T11:15:52Z,MERGED,3,1,3,3,230,2020-05-23T17:30:55Z,MDExOlB1bGxSZXF1ZXN0NDIyMzAzNDg3
https://github.com/gothinkster/realworld,2021-01-29T14:07:05Z,CLOSED,1,0,2,2,0,2020-06-02T15:29:19Z,MDExOlB1bGxSZXF1ZXN0NDI2NjYyMzc2
https://github.com/gothinkster/realworld,2021-02-26T22:38:03Z,CLOSED,1,2,2,3,67,2020-07-10T19:21:56Z,MDExOlB1bGxSZXF1ZXN0NDQ3NjA1NTUw
https://github.com/gothinkster/realworld,2021-01-23T09:06:55Z,MERGED,1,0,2,2,96,2020-07-18T13:12:47Z,MDExOlB1bGxSZXF1ZXN0NDUxOTI1OTI2
https://github.com/gothinkster/realworld,2021-01-23T14:23:45Z,MERGED,2,0,3,2,80,2020-09-02T22:37:48Z,MDExOlB1bGxSZXF1ZXN0NDc4MjIyNTM5
https://github.com/gothinkster/realworld,2021-02-14T23:07:10Z,MERGED,1,0,2,3,84,2021-02-13T22:09:42Z,MDExOlB1bGxSZXF1ZXN0NTczMDAxMzI5
https://github.com/gothinkster/realworld,2021-02-14T11:17:03Z,MERGED,1,1,2,5,74,2021-02-14T09:44:52Z,MDExOlB1bGxSZXF1ZXN0NTczMDY1MTYw
https://github.com/gothinkster/realworld,2021-03-10T14:43:55Z,MERGED,3,4,4,3,284,2021-03-08T21:50:31Z,MDExOlB1bGxSZXF1ZXN0NTg3MTMyMTE2
https://github.com/gothinkster/realworld,2017-04-20T16:52:38Z,MERGED,1,0,2,10,0,2017-04-20T02:59:48Z,MDExOlB1bGxSZXF1ZXN0MTE2NjgxNjAy
https://github.com/gothinkster/realworld,2017-11-12T22:12:00Z,MERGED,1,0,2,14,94,2017-11-12T04:56:47Z,MDExOlB1bGxSZXF1ZXN0MTUyMDg5MDM3
https://github.com/gothinkster/realworld,2017-11-15T19:01:10Z,MERGED,1,5,3,5,60,2017-11-13T23:48:02Z,MDExOlB1bGxSZXF1ZXN0MTUyMzc4Mjgy
