repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/reduxjs/redux,2016-05-08T11:45:01Z,MERGED,2,2,5,18,0,2016-05-07T09:52:29Z,MDExOlB1bGxSZXF1ZXN0NjkyMzg2NDQ=
https://github.com/reduxjs/redux,2018-09-02T18:55:02Z,CLOSED,1,38,13,269,4572,2016-05-09T03:43:32Z,MDExOlB1bGxSZXF1ZXN0NjkyOTI0MDk=
https://github.com/reduxjs/redux,2016-09-19T21:21:26Z,MERGED,13,62,21,736,1127,2016-08-09T15:27:20Z,MDExOlB1bGxSZXF1ZXN0ODA2NDE1NjU=
https://github.com/reduxjs/redux,2016-09-25T22:57:47Z,MERGED,9,26,9,1759,227,2016-09-04T23:23:24Z,MDExOlB1bGxSZXF1ZXN0ODM5MzcyNjQ=
https://github.com/reduxjs/redux,2016-09-18T20:27:51Z,MERGED,2,3,3,415,172,2016-09-12T18:55:10Z,MDExOlB1bGxSZXF1ZXN0ODQ5MjQ1NTU=
https://github.com/reduxjs/redux,2016-09-18T20:41:30Z,MERGED,3,1,4,339,123,2016-09-12T19:29:46Z,MDExOlB1bGxSZXF1ZXN0ODQ5Mjk4NDE=
https://github.com/reduxjs/redux,2016-09-21T13:13:05Z,MERGED,5,2,4,299,368,2016-09-13T15:54:42Z,MDExOlB1bGxSZXF1ZXN0ODUwNzU3Nzg=
https://github.com/reduxjs/redux,2016-09-19T15:16:25Z,MERGED,1,1,3,12,90,2016-09-17T04:44:48Z,MDExOlB1bGxSZXF1ZXN0ODU2NjM3OTY=
https://github.com/reduxjs/redux,2016-09-28T13:58:01Z,MERGED,3,2,3,7,383,2016-09-27T16:30:21Z,MDExOlB1bGxSZXF1ZXN0ODY5NjUxODU=
https://github.com/reduxjs/redux,2016-09-27T20:05:08Z,CLOSED,1,0,3,2,0,2016-09-27T18:46:10Z,MDExOlB1bGxSZXF1ZXN0ODY5ODg0NzA=
https://github.com/reduxjs/redux,2016-09-30T19:22:47Z,MERGED,2,0,4,2,0,2016-09-30T13:45:57Z,MDExOlB1bGxSZXF1ZXN0ODc0OTY0NDM=
https://github.com/reduxjs/redux,2016-10-05T12:42:57Z,MERGED,1,1,3,4,9,2016-10-05T10:58:10Z,MDExOlB1bGxSZXF1ZXN0ODgwNTYzNjk=
https://github.com/reduxjs/redux,2017-02-19T21:46:39Z,MERGED,24,20,3,831,383,2016-11-23T15:41:03Z,MDExOlB1bGxSZXF1ZXN0OTUwMjcxMjA=
https://github.com/reduxjs/redux,2017-10-06T01:08:27Z,CLOSED,3,13,5,23,373,2016-11-30T14:46:07Z,MDExOlB1bGxSZXF1ZXN0OTU5MDQ0MTc=
https://github.com/reduxjs/redux,2016-12-09T19:12:36Z,MERGED,3,2,2,10,373,2016-12-08T22:07:47Z,MDExOlB1bGxSZXF1ZXN0OTcyMTA2Njk=
https://github.com/reduxjs/redux,2016-12-13T17:51:19Z,MERGED,1,29,7,4,95,2016-12-10T01:38:17Z,MDExOlB1bGxSZXF1ZXN0OTc0MDc3Mjc=
https://github.com/reduxjs/redux,2016-12-13T17:52:12Z,MERGED,1,2,3,5,151,2016-12-11T15:26:08Z,MDExOlB1bGxSZXF1ZXN0OTc0NjIxMTg=
https://github.com/reduxjs/redux,2016-12-30T00:30:19Z,MERGED,4,11,4,101,131,2016-12-27T05:45:11Z,MDExOlB1bGxSZXF1ZXN0OTk0MDc2NTc=
https://github.com/reduxjs/redux,2017-11-16T14:57:37Z,CLOSED,4,6,7,1093,12870,2017-01-22T02:47:20Z,MDExOlB1bGxSZXF1ZXN0MTAyNjA0OTQy
https://github.com/reduxjs/redux,2017-01-26T20:49:31Z,MERGED,1,1,3,2,0,2017-01-25T23:26:40Z,MDExOlB1bGxSZXF1ZXN0MTAzMjI2NDc1
https://github.com/reduxjs/redux,2017-02-22T18:03:12Z,MERGED,1,1,3,4,39,2017-02-21T23:37:53Z,MDExOlB1bGxSZXF1ZXN0MTA3MzAzODg0
https://github.com/reduxjs/redux,2017-02-26T18:43:24Z,MERGED,1,1,2,3,169,2017-02-26T15:27:45Z,MDExOlB1bGxSZXF1ZXN0MTA4MDA4ODIw
https://github.com/reduxjs/redux,2017-03-15T00:21:54Z,MERGED,3,1,2,54,433,2017-02-28T06:45:51Z,MDExOlB1bGxSZXF1ZXN0MTA4MjY4NDMx
https://github.com/reduxjs/redux,2017-03-08T01:22:31Z,MERGED,1,23,3,530,48,2017-03-07T23:10:58Z,MDExOlB1bGxSZXF1ZXN0MTA5NTkzMjQx
https://github.com/reduxjs/redux,2017-03-30T02:51:49Z,MERGED,3,1,2,4,467,2017-03-29T19:51:34Z,MDExOlB1bGxSZXF1ZXN0MTEzMjgwMDY1
https://github.com/reduxjs/redux,2017-04-04T20:37:59Z,CLOSED,2,9,3,30,565,2017-04-04T11:25:54Z,MDExOlB1bGxSZXF1ZXN0MTE0MTI1NzE2
https://github.com/reduxjs/redux,2017-04-21T16:57:28Z,MERGED,2,1,3,110,13,2017-04-21T14:08:09Z,MDExOlB1bGxSZXF1ZXN0MTE2OTkzMTgy
https://github.com/reduxjs/redux,2017-04-27T14:54:21Z,CLOSED,2,1,3,5,432,2017-04-27T04:46:20Z,MDExOlB1bGxSZXF1ZXN0MTE3ODU4NDU2
https://github.com/reduxjs/redux,2017-05-12T17:31:15Z,MERGED,4,6,2,186,111,2017-05-03T10:26:14Z,MDExOlB1bGxSZXF1ZXN0MTE4NzMwNzg1
https://github.com/reduxjs/redux,2017-05-12T17:34:04Z,MERGED,4,0,2,238,6,2017-05-03T10:50:09Z,MDExOlB1bGxSZXF1ZXN0MTE4NzM0NDg0
https://github.com/reduxjs/redux,2017-05-12T17:37:35Z,MERGED,3,1,2,455,6,2017-05-03T11:28:29Z,MDExOlB1bGxSZXF1ZXN0MTE4NzQwMjQ0
https://github.com/reduxjs/redux,2017-05-12T17:35:04Z,MERGED,2,0,2,98,33,2017-05-03T11:42:38Z,MDExOlB1bGxSZXF1ZXN0MTE4NzQyNDE5
https://github.com/reduxjs/redux,2017-10-06T01:06:52Z,MERGED,1,0,2,2,294,2017-05-03T20:15:54Z,MDExOlB1bGxSZXF1ZXN0MTE4ODQ1MzUw
https://github.com/reduxjs/redux,2017-05-07T19:19:32Z,MERGED,3,1,4,6,68,2017-05-07T06:31:05Z,MDExOlB1bGxSZXF1ZXN0MTE5MzI4MDUw
https://github.com/reduxjs/redux,2017-05-24T18:01:31Z,MERGED,4,11,3,6868,617,2017-05-17T10:07:16Z,MDExOlB1bGxSZXF1ZXN0MTIxMDE5NjA4
https://github.com/reduxjs/redux,2017-10-06T01:05:30Z,CLOSED,9,1,3,22,0,2017-06-29T02:10:30Z,MDExOlB1bGxSZXF1ZXN0MTI4MDU2MTAx
https://github.com/reduxjs/redux,2017-10-06T01:32:06Z,MERGED,2,0,2,46,37,2017-07-14T00:58:22Z,MDExOlB1bGxSZXF1ZXN0MTMwNDk2NzY3
https://github.com/reduxjs/redux,2017-07-25T23:25:40Z,MERGED,1,2,2,43,231,2017-07-24T17:07:02Z,MDExOlB1bGxSZXF1ZXN0MTMyMDk5MTM5
https://github.com/reduxjs/redux,2017-08-08T00:59:03Z,MERGED,3,4,3,106,340,2017-07-24T23:35:14Z,MDExOlB1bGxSZXF1ZXN0MTMyMTY3NDk5
https://github.com/reduxjs/redux,2017-07-31T15:53:24Z,MERGED,2,3,2,25,145,2017-07-28T08:44:12Z,MDExOlB1bGxSZXF1ZXN0MTMyOTIxNDg1
https://github.com/reduxjs/redux,2017-07-31T15:55:13Z,MERGED,2,3,2,4,142,2017-07-28T09:58:36Z,MDExOlB1bGxSZXF1ZXN0MTMyOTM0Nzcx
https://github.com/reduxjs/redux,2017-10-06T01:25:20Z,CLOSED,2,4,3,317,272,2017-08-14T18:34:02Z,MDExOlB1bGxSZXF1ZXN0MTM1NjU4MzA4
https://github.com/reduxjs/redux,2017-08-15T13:48:45Z,MERGED,3,6,6,22,229,2017-08-15T08:51:37Z,MDExOlB1bGxSZXF1ZXN0MTM1NzU5NjQ1
https://github.com/reduxjs/redux,2017-10-06T01:04:21Z,MERGED,36,16,7,95,1558,2017-08-16T20:05:30Z,MDExOlB1bGxSZXF1ZXN0MTM2MTEwNTU0
https://github.com/reduxjs/redux,2017-08-19T22:19:54Z,MERGED,1,1,2,2,99,2017-08-19T21:01:37Z,MDExOlB1bGxSZXF1ZXN0MTM2NjIxMTc4
https://github.com/reduxjs/redux,2017-08-29T03:11:05Z,MERGED,4,6,3,38,133,2017-08-27T12:29:52Z,MDExOlB1bGxSZXF1ZXN0MTM3ODMxOTcx
https://github.com/reduxjs/redux,2017-11-16T14:54:24Z,MERGED,16,43,13,599,645,2017-09-05T03:26:42Z,MDExOlB1bGxSZXF1ZXN0MTM5MjMxMzI4
https://github.com/reduxjs/redux,2017-09-11T15:41:40Z,CLOSED,2,3,4,33,505,2017-09-11T09:06:13Z,MDExOlB1bGxSZXF1ZXN0MTQwMjgzMzk3
https://github.com/reduxjs/redux,2017-10-23T00:46:11Z,CLOSED,7,5,3,39,291,2017-10-02T02:11:56Z,MDExOlB1bGxSZXF1ZXN0MTQ0MTAwOTQw
