repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/socketio/socket.io,2016-11-24T22:39:43Z,MERGED,1,5,2,41,753,2016-03-10T09:26:07Z,MDExOlB1bGxSZXF1ZXN0NjIzNjA2MzM=
https://github.com/socketio/socket.io,2016-11-18T00:52:45Z,MERGED,1,5,4,21,127,2016-09-10T13:34:10Z,MDExOlB1bGxSZXF1ZXN0ODQ3NTU2MjY=
https://github.com/socketio/socket.io,2016-10-21T01:29:23Z,CLOSED,1,1,2,35,111,2016-10-17T05:32:17Z,MDExOlB1bGxSZXF1ZXN0ODk1NjI4Mjg=
https://github.com/socketio/socket.io,2016-10-24T00:35:01Z,MERGED,6,1,2,10,51,2016-10-21T01:34:51Z,MDExOlB1bGxSZXF1ZXN0OTAzMDk4MjI=
https://github.com/socketio/socket.io,2016-11-16T00:17:20Z,MERGED,3,8,5,18,415,2016-11-08T16:23:06Z,MDExOlB1bGxSZXF1ZXN0OTI4MTA1MzE=
https://github.com/socketio/socket.io,2016-11-15T20:52:56Z,MERGED,3,1,3,18,442,2016-11-12T22:26:59Z,MDExOlB1bGxSZXF1ZXN0OTM0NTQyMDk=
https://github.com/socketio/socket.io,2021-01-14T23:36:53Z,CLOSED,1,6,3,159,563,2016-12-01T21:04:10Z,MDExOlB1bGxSZXF1ZXN0OTYxNzAwNzc=
https://github.com/socketio/socket.io,2017-06-03T12:47:51Z,CLOSED,1,14,5,56,1324,2017-01-26T01:14:15Z,MDExOlB1bGxSZXF1ZXN0MTAzMjM3ODQ1
https://github.com/socketio/socket.io,2017-06-08T10:28:57Z,MERGED,2,1,2,2,1207,2017-06-03T22:14:20Z,MDExOlB1bGxSZXF1ZXN0MTIzODU4MDgw
https://github.com/socketio/socket.io,2018-11-20T07:01:10Z,MERGED,2,1,3,18,316,2017-11-02T19:10:07Z,MDExOlB1bGxSZXF1ZXN0MTUwMzc5MzIy
https://github.com/socketio/socket.io,2021-01-14T23:36:17Z,MERGED,5,2,5,82,793,2018-05-07T16:01:49Z,MDExOlB1bGxSZXF1ZXN0MTg2MzkzMjU5
https://github.com/socketio/socket.io,2020-09-19T01:02:31Z,CLOSED,1,2,4,2,84,2019-11-09T22:57:44Z,MDExOlB1bGxSZXF1ZXN0MzM5MDk2ODM5
https://github.com/socketio/socket.io,2021-01-14T23:31:58Z,CLOSED,5,12,3,8,629,2020-02-23T13:33:12Z,MDExOlB1bGxSZXF1ZXN0Mzc4NzA2MTEx
https://github.com/socketio/socket.io,2021-01-14T23:28:21Z,MERGED,1,4,3,2,606,2020-11-18T04:44:52Z,MDExOlB1bGxSZXF1ZXN0NTIyOTA3NzI0
https://github.com/socketio/socket.io,2020-11-25T10:09:18Z,MERGED,1,0,3,4,332,2020-11-18T04:52:42Z,MDExOlB1bGxSZXF1ZXN0NTIyOTEwMTQ4
https://github.com/socketio/socket.io,2021-03-09T23:27:14Z,CLOSED,7,2,2,2129,2634,2021-03-01T21:46:45Z,MDExOlB1bGxSZXF1ZXN0NTgyNDQ5NDYw
https://github.com/socketio/socket.io,2016-11-24T22:39:43Z,MERGED,1,5,2,41,753,2016-03-10T09:26:07Z,MDExOlB1bGxSZXF1ZXN0NjIzNjA2MzM=
https://github.com/socketio/socket.io,2016-11-18T00:52:45Z,MERGED,1,5,4,21,127,2016-09-10T13:34:10Z,MDExOlB1bGxSZXF1ZXN0ODQ3NTU2MjY=
https://github.com/socketio/socket.io,2016-10-21T01:29:23Z,CLOSED,1,1,2,35,111,2016-10-17T05:32:17Z,MDExOlB1bGxSZXF1ZXN0ODk1NjI4Mjg=
https://github.com/socketio/socket.io,2016-10-24T00:35:01Z,MERGED,6,1,2,10,51,2016-10-21T01:34:51Z,MDExOlB1bGxSZXF1ZXN0OTAzMDk4MjI=
https://github.com/socketio/socket.io,2016-11-16T00:17:20Z,MERGED,3,8,5,18,415,2016-11-08T16:23:06Z,MDExOlB1bGxSZXF1ZXN0OTI4MTA1MzE=
https://github.com/socketio/socket.io,2016-11-15T20:52:56Z,MERGED,3,1,3,18,442,2016-11-12T22:26:59Z,MDExOlB1bGxSZXF1ZXN0OTM0NTQyMDk=
https://github.com/socketio/socket.io,2021-01-14T23:36:53Z,CLOSED,1,6,3,159,563,2016-12-01T21:04:10Z,MDExOlB1bGxSZXF1ZXN0OTYxNzAwNzc=
https://github.com/socketio/socket.io,2017-06-03T12:47:51Z,CLOSED,1,14,5,56,1324,2017-01-26T01:14:15Z,MDExOlB1bGxSZXF1ZXN0MTAzMjM3ODQ1
https://github.com/socketio/socket.io,2017-06-08T10:28:57Z,MERGED,2,1,2,2,1207,2017-06-03T22:14:20Z,MDExOlB1bGxSZXF1ZXN0MTIzODU4MDgw
https://github.com/socketio/socket.io,2018-11-20T07:01:10Z,MERGED,2,1,3,18,316,2017-11-02T19:10:07Z,MDExOlB1bGxSZXF1ZXN0MTUwMzc5MzIy
https://github.com/socketio/socket.io,2021-01-14T23:36:17Z,MERGED,5,2,5,82,793,2018-05-07T16:01:49Z,MDExOlB1bGxSZXF1ZXN0MTg2MzkzMjU5
https://github.com/socketio/socket.io,2020-09-19T01:02:31Z,CLOSED,1,2,4,2,84,2019-11-09T22:57:44Z,MDExOlB1bGxSZXF1ZXN0MzM5MDk2ODM5
https://github.com/socketio/socket.io,2021-01-14T23:31:58Z,CLOSED,5,12,3,8,629,2020-02-23T13:33:12Z,MDExOlB1bGxSZXF1ZXN0Mzc4NzA2MTEx
https://github.com/socketio/socket.io,2021-01-14T23:28:21Z,MERGED,1,4,3,2,606,2020-11-18T04:44:52Z,MDExOlB1bGxSZXF1ZXN0NTIyOTA3NzI0
https://github.com/socketio/socket.io,2020-11-25T10:09:18Z,MERGED,1,0,3,4,332,2020-11-18T04:52:42Z,MDExOlB1bGxSZXF1ZXN0NTIyOTEwMTQ4
https://github.com/socketio/socket.io,2021-03-09T23:27:14Z,CLOSED,7,2,2,2129,2634,2021-03-01T21:46:45Z,MDExOlB1bGxSZXF1ZXN0NTgyNDQ5NDYw
https://github.com/socketio/socket.io,2016-11-24T22:39:43Z,MERGED,1,5,2,41,753,2016-03-10T09:26:07Z,MDExOlB1bGxSZXF1ZXN0NjIzNjA2MzM=
https://github.com/socketio/socket.io,2016-11-18T00:52:45Z,MERGED,1,5,4,21,127,2016-09-10T13:34:10Z,MDExOlB1bGxSZXF1ZXN0ODQ3NTU2MjY=
https://github.com/socketio/socket.io,2016-10-21T01:29:23Z,CLOSED,1,1,2,35,111,2016-10-17T05:32:17Z,MDExOlB1bGxSZXF1ZXN0ODk1NjI4Mjg=
https://github.com/socketio/socket.io,2016-10-24T00:35:01Z,MERGED,6,1,2,10,51,2016-10-21T01:34:51Z,MDExOlB1bGxSZXF1ZXN0OTAzMDk4MjI=
https://github.com/socketio/socket.io,2016-11-16T00:17:20Z,MERGED,3,8,5,18,415,2016-11-08T16:23:06Z,MDExOlB1bGxSZXF1ZXN0OTI4MTA1MzE=
https://github.com/socketio/socket.io,2016-11-15T20:52:56Z,MERGED,3,1,3,18,442,2016-11-12T22:26:59Z,MDExOlB1bGxSZXF1ZXN0OTM0NTQyMDk=
https://github.com/socketio/socket.io,2021-01-14T23:36:53Z,CLOSED,1,6,3,159,563,2016-12-01T21:04:10Z,MDExOlB1bGxSZXF1ZXN0OTYxNzAwNzc=
https://github.com/socketio/socket.io,2017-06-03T12:47:51Z,CLOSED,1,14,5,56,1324,2017-01-26T01:14:15Z,MDExOlB1bGxSZXF1ZXN0MTAzMjM3ODQ1
https://github.com/socketio/socket.io,2017-06-08T10:28:57Z,MERGED,2,1,2,2,1207,2017-06-03T22:14:20Z,MDExOlB1bGxSZXF1ZXN0MTIzODU4MDgw
https://github.com/socketio/socket.io,2018-11-20T07:01:10Z,MERGED,2,1,3,18,316,2017-11-02T19:10:07Z,MDExOlB1bGxSZXF1ZXN0MTUwMzc5MzIy
https://github.com/socketio/socket.io,2021-01-14T23:36:17Z,MERGED,5,2,5,82,793,2018-05-07T16:01:49Z,MDExOlB1bGxSZXF1ZXN0MTg2MzkzMjU5
