repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/apple/swift,2015-11-19T19:39:53Z,MERGED,1,4,5,26,543,2015-11-18T23:01:04Z,MDExOlB1bGxSZXF1ZXN0NTExNTYxMDk=
https://github.com/apple/swift,2017-04-12T01:03:18Z,MERGED,5,55,12,366,1517,2016-03-03T19:15:16Z,MDExOlB1bGxSZXF1ZXN0NjE2MDk1NTk=
https://github.com/apple/swift,2015-11-19T19:39:53Z,MERGED,1,4,5,26,543,2015-11-18T23:01:04Z,MDExOlB1bGxSZXF1ZXN0NTExNTYxMDk=
https://github.com/apple/swift,2017-04-12T01:03:18Z,MERGED,5,55,12,366,1517,2016-03-03T19:15:16Z,MDExOlB1bGxSZXF1ZXN0NjE2MDk1NTk=
https://github.com/apple/swift,2016-06-12T08:18:19Z,MERGED,1,3,3,1096,135,2016-06-11T22:24:27Z,MDExOlB1bGxSZXF1ZXN0NzM0ODAwODY=
https://github.com/apple/swift,2016-07-26T07:43:39Z,MERGED,3,2,2,1109,2996,2016-07-26T06:29:10Z,MDExOlB1bGxSZXF1ZXN0Nzg3OTgwMzQ=
https://github.com/apple/swift,2017-04-17T23:46:10Z,MERGED,1,60,9,11343,2208,2016-07-27T18:24:27Z,MDExOlB1bGxSZXF1ZXN0NzkwNzMxMzE=
https://github.com/apple/swift,2015-11-19T19:39:53Z,MERGED,1,4,5,26,543,2015-11-18T23:01:04Z,MDExOlB1bGxSZXF1ZXN0NTExNTYxMDk=
https://github.com/apple/swift,2017-04-12T01:03:18Z,MERGED,5,55,12,366,1517,2016-03-03T19:15:16Z,MDExOlB1bGxSZXF1ZXN0NjE2MDk1NTk=
https://github.com/apple/swift,2015-11-19T19:39:53Z,MERGED,1,4,5,26,543,2015-11-18T23:01:04Z,MDExOlB1bGxSZXF1ZXN0NTExNTYxMDk=
https://github.com/apple/swift,2017-04-12T01:03:18Z,MERGED,5,55,12,366,1517,2016-03-03T19:15:16Z,MDExOlB1bGxSZXF1ZXN0NjE2MDk1NTk=
https://github.com/apple/swift,2015-11-19T19:39:53Z,MERGED,1,4,5,26,543,2015-11-18T23:01:04Z,MDExOlB1bGxSZXF1ZXN0NTExNTYxMDk=
https://github.com/apple/swift,2017-04-12T01:03:18Z,MERGED,5,55,12,366,1517,2016-03-03T19:15:16Z,MDExOlB1bGxSZXF1ZXN0NjE2MDk1NTk=
https://github.com/apple/swift,2016-06-12T08:18:19Z,MERGED,1,3,3,1096,135,2016-06-11T22:24:27Z,MDExOlB1bGxSZXF1ZXN0NzM0ODAwODY=
https://github.com/apple/swift,2016-07-26T07:43:39Z,MERGED,3,2,2,1109,2996,2016-07-26T06:29:10Z,MDExOlB1bGxSZXF1ZXN0Nzg3OTgwMzQ=
https://github.com/apple/swift,2017-04-17T23:46:10Z,MERGED,1,60,9,11343,2208,2016-07-27T18:24:27Z,MDExOlB1bGxSZXF1ZXN0NzkwNzMxMzE=
https://github.com/apple/swift,2017-01-20T04:17:47Z,MERGED,12,11,6,117,2814,2016-07-28T23:23:03Z,MDExOlB1bGxSZXF1ZXN0NzkyODUwMTU=
https://github.com/apple/swift,2017-01-17T20:26:25Z,MERGED,5,34,9,171,2543,2016-07-30T07:21:17Z,MDExOlB1bGxSZXF1ZXN0Nzk0NTA3MTU=
https://github.com/apple/swift,2017-01-26T22:50:48Z,MERGED,1,35,6,1607,2474,2016-08-05T18:52:56Z,MDExOlB1bGxSZXF1ZXN0ODAyOTAwMDg=
