repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/donnemartin/system-design-primer,2017-03-10T00:36:12Z,MERGED,1,1,2,4,78,2017-03-09T10:50:34Z,MDExOlB1bGxSZXF1ZXN0MTA5ODg2MzUw
https://github.com/donnemartin/system-design-primer,2017-03-10T00:37:40Z,MERGED,1,1,2,2,0,2017-03-09T14:21:29Z,MDExOlB1bGxSZXF1ZXN0MTA5OTIzMDg2
https://github.com/donnemartin/system-design-primer,2017-03-11T02:07:51Z,MERGED,1,1,2,2,4,2017-03-10T04:30:56Z,MDExOlB1bGxSZXF1ZXN0MTEwMDU5NTM1
https://github.com/donnemartin/system-design-primer,2017-03-11T02:06:35Z,MERGED,1,1,3,16,0,2017-03-10T07:53:56Z,MDExOlB1bGxSZXF1ZXN0MTEwMDc3NzI0
https://github.com/donnemartin/system-design-primer,2017-03-19T19:23:03Z,MERGED,1,2,2,70,225,2017-03-16T22:49:05Z,MDExOlB1bGxSZXF1ZXN0MTExMTgxNzI2
https://github.com/donnemartin/system-design-primer,2017-03-18T15:37:17Z,MERGED,1,1,2,6,0,2017-03-18T04:17:42Z,MDExOlB1bGxSZXF1ZXN0MTExMzk2MjQy
https://github.com/donnemartin/system-design-primer,2017-03-19T19:24:13Z,MERGED,1,1,2,2,35,2017-03-18T16:45:40Z,MDExOlB1bGxSZXF1ZXN0MTExNDE2NTE1
https://github.com/donnemartin/system-design-primer,2017-03-21T11:39:11Z,MERGED,1,1,2,1,221,2017-03-19T22:54:10Z,MDExOlB1bGxSZXF1ZXN0MTExNDcyNTU4
https://github.com/donnemartin/system-design-primer,2017-03-23T02:53:16Z,MERGED,2,1,3,2,0,2017-03-22T16:44:21Z,MDExOlB1bGxSZXF1ZXN0MTEyMDU3MDkx
https://github.com/donnemartin/system-design-primer,2017-03-24T02:42:03Z,MERGED,1,1,2,4,0,2017-03-23T22:30:10Z,MDExOlB1bGxSZXF1ZXN0MTEyMzUyMzc0
https://github.com/donnemartin/system-design-primer,2017-03-26T17:02:10Z,CLOSED,2,4,3,5,84,2017-03-24T11:32:50Z,MDExOlB1bGxSZXF1ZXN0MTEyNDM3NTE5
