repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/tensorflow/tensorflow,2016-04-14T16:56:59Z,MERGED,2,2,6,6,59,2016-04-14T14:19:32Z,MDExOlB1bGxSZXF1ZXN0NjY0OTIwNzU=
https://github.com/tensorflow/tensorflow,2016-08-17T00:42:47Z,MERGED,3,15,7,33,1016,2016-08-08T07:46:15Z,MDExOlB1bGxSZXF1ZXN0ODA0MDY4MDc=
https://github.com/tensorflow/tensorflow,2016-09-22T04:30:21Z,MERGED,1,18,7,36,0,2016-08-22T17:34:41Z,MDExOlB1bGxSZXF1ZXN0ODIyMzE0MTM=
https://github.com/tensorflow/tensorflow,2016-10-20T23:58:53Z,CLOSED,3,15,11,107,85,2016-08-23T21:18:31Z,MDExOlB1bGxSZXF1ZXN0ODI0NDI5OTc=
https://github.com/tensorflow/tensorflow,2017-01-15T19:17:24Z,CLOSED,12,27,14,353,40,2016-08-26T08:37:18Z,MDExOlB1bGxSZXF1ZXN0ODI4NTEwNDA=
https://github.com/tensorflow/tensorflow,2016-09-29T16:53:06Z,MERGED,19,50,14,231,13,2016-08-27T18:37:02Z,MDExOlB1bGxSZXF1ZXN0ODI5OTUyMjY=
https://github.com/tensorflow/tensorflow,2016-10-31T16:15:25Z,MERGED,1,11,8,4,12,2016-08-29T18:20:13Z,MDExOlB1bGxSZXF1ZXN0ODMxNDMwNjc=
https://github.com/tensorflow/tensorflow,2016-11-16T18:05:20Z,MERGED,16,45,12,207,124,2016-08-31T01:56:13Z,MDExOlB1bGxSZXF1ZXN0ODMzNzY3MjI=
https://github.com/tensorflow/tensorflow,2016-11-04T18:31:25Z,CLOSED,2,20,8,1,107,2016-09-01T02:01:49Z,MDExOlB1bGxSZXF1ZXN0ODM1NTg5NTc=
https://github.com/tensorflow/tensorflow,2016-09-20T17:55:55Z,MERGED,3,5,7,17,0,2016-09-01T22:04:25Z,MDExOlB1bGxSZXF1ZXN0ODM3MTUxMTQ=
https://github.com/tensorflow/tensorflow,2016-12-01T00:58:06Z,MERGED,14,40,9,174,387,2016-09-06T03:55:17Z,MDExOlB1bGxSZXF1ZXN0ODQwNTcxOTA=
https://github.com/tensorflow/tensorflow,2016-09-19T20:41:26Z,MERGED,1,10,6,30,96,2016-09-06T20:09:51Z,MDExOlB1bGxSZXF1ZXN0ODQxODc3MjI=
