repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/vuejs/vue,2016-06-30T15:01:37Z,MERGED,1,0,3,117,18,2016-06-29T16:30:33Z,MDExOlB1bGxSZXF1ZXN0NzU2ODAxNDc=
https://github.com/vuejs/vue,2016-09-11T14:54:47Z,MERGED,3,0,4,6,410,2016-09-10T20:25:14Z,MDExOlB1bGxSZXF1ZXN0ODQ3NjY3OTU=
https://github.com/vuejs/vue,2016-10-12T04:56:07Z,CLOSED,2,0,5,7,810,2016-09-12T03:20:27Z,MDExOlB1bGxSZXF1ZXN0ODQ4MTA4MTA=
https://github.com/vuejs/vue,2016-10-12T04:56:07Z,CLOSED,1,5,3,125,1817,2016-09-20T20:00:18Z,MDExOlB1bGxSZXF1ZXN0ODYwNDU3ODY=
https://github.com/vuejs/vue,2016-09-28T19:04:08Z,MERGED,1,3,3,16,421,2016-09-26T04:17:05Z,MDExOlB1bGxSZXF1ZXN0ODY2Nzk2Mjk=
https://github.com/vuejs/vue,2016-09-27T18:37:50Z,MERGED,2,5,4,10,113,2016-09-26T14:13:46Z,MDExOlB1bGxSZXF1ZXN0ODY3NTA0MTQ=
https://github.com/vuejs/vue,2016-09-28T19:33:29Z,MERGED,2,2,3,17,562,2016-09-27T22:38:15Z,MDExOlB1bGxSZXF1ZXN0ODcwMjU0NDk=
https://github.com/vuejs/vue,2016-09-28T19:32:59Z,MERGED,3,0,2,6,49,2016-09-28T16:21:38Z,MDExOlB1bGxSZXF1ZXN0ODcxNTMzNTg=
https://github.com/vuejs/vue,2016-09-30T17:57:39Z,MERGED,4,2,5,59,192,2016-09-30T04:47:28Z,MDExOlB1bGxSZXF1ZXN0ODc0MzM3OTA=
https://github.com/vuejs/vue,2016-10-05T19:13:14Z,MERGED,2,0,3,19,74,2016-10-01T17:31:48Z,MDExOlB1bGxSZXF1ZXN0ODc2MDg5NDM=
