repo,fechado_em,estado,reviews,comentarios,participantes,tamanho,descricao,criado_em,id
https://github.com/ytdl-org/youtube-dl,2017-02-19T13:27:35Z,CLOSED,1,17,3,15,551,2015-10-22T14:41:41Z,MDExOlB1bGxSZXF1ZXN0NDg0NjYxMDg=
https://github.com/ytdl-org/youtube-dl,2020-04-13T14:02:03Z,CLOSED,13,15,4,235,46,2015-12-25T19:13:53Z,MDExOlB1bGxSZXF1ZXN0NTQ1OTIzMTg=
https://github.com/ytdl-org/youtube-dl,2017-04-19T10:48:23Z,MERGED,3,6,4,236,219,2016-06-28T17:17:33Z,MDExOlB1bGxSZXF1ZXN0NzU1MTU4NzQ=
https://github.com/ytdl-org/youtube-dl,2017-04-12T18:46:52Z,CLOSED,5,2,3,79,1158,2016-08-31T09:04:03Z,MDExOlB1bGxSZXF1ZXN0ODM0MTM4NzU=
https://github.com/ytdl-org/youtube-dl,2016-12-31T16:45:31Z,CLOSED,12,6,3,15,566,2016-09-14T15:38:30Z,MDExOlB1bGxSZXF1ZXN0ODUyNTE5MDM=
https://github.com/ytdl-org/youtube-dl,2016-09-15T16:14:45Z,CLOSED,3,2,1,6,1116,2016-09-14T16:03:36Z,MDExOlB1bGxSZXF1ZXN0ODUyNTY3Mzg=
https://github.com/ytdl-org/youtube-dl,2016-09-16T03:52:44Z,CLOSED,3,6,3,23,854,2016-09-14T18:34:08Z,MDExOlB1bGxSZXF1ZXN0ODUyODEyNDU=
https://github.com/ytdl-org/youtube-dl,2016-11-29T16:37:31Z,MERGED,4,0,2,16,1096,2016-09-17T15:31:36Z,MDExOlB1bGxSZXF1ZXN0ODU2Nzc1ODE=
https://github.com/ytdl-org/youtube-dl,2016-09-20T18:59:54Z,CLOSED,1,1,2,9,816,2016-09-18T10:01:46Z,MDExOlB1bGxSZXF1ZXN0ODU3MDUwMDQ=
https://github.com/ytdl-org/youtube-dl,2016-12-27T11:50:07Z,CLOSED,3,1,2,110,990,2016-09-18T16:38:48Z,MDExOlB1bGxSZXF1ZXN0ODU3MTUzOTA=
https://github.com/ytdl-org/youtube-dl,2018-10-29T16:33:01Z,CLOSED,5,2,3,69,1088,2016-09-18T19:12:30Z,MDExOlB1bGxSZXF1ZXN0ODU3MTk1Nzk=
https://github.com/ytdl-org/youtube-dl,2016-12-17T12:43:50Z,CLOSED,1,2,2,100,1271,2016-09-21T00:28:03Z,MDExOlB1bGxSZXF1ZXN0ODYwNzk0NzI=
https://github.com/ytdl-org/youtube-dl,2016-10-24T18:46:03Z,MERGED,24,6,4,85,1189,2016-09-23T15:12:25Z,MDExOlB1bGxSZXF1ZXN0ODY1MzAxNzY=
https://github.com/ytdl-org/youtube-dl,2016-09-24T23:15:00Z,CLOSED,3,0,2,4,326,2016-09-24T21:49:07Z,MDExOlB1bGxSZXF1ZXN0ODY2MzE4NTQ=
https://github.com/ytdl-org/youtube-dl,2016-09-26T15:13:44Z,MERGED,2,3,3,16,1604,2016-09-25T11:37:08Z,MDExOlB1bGxSZXF1ZXN0ODY2NDczNzI=
https://github.com/ytdl-org/youtube-dl,2016-09-27T15:01:51Z,CLOSED,3,2,2,24,1067,2016-09-25T15:08:41Z,MDExOlB1bGxSZXF1ZXN0ODY2NTI1ODM=
https://github.com/ytdl-org/youtube-dl,2016-11-01T18:36:28Z,CLOSED,4,2,2,28,1055,2016-09-26T20:57:10Z,MDExOlB1bGxSZXF1ZXN0ODY4MTc0MjE=
https://github.com/ytdl-org/youtube-dl,2016-09-29T13:54:40Z,MERGED,9,1,2,11,1405,2016-09-28T14:56:23Z,MDExOlB1bGxSZXF1ZXN0ODcxMzY5OTU=
https://github.com/ytdl-org/youtube-dl,2016-09-30T17:19:58Z,CLOSED,8,1,2,12,1392,2016-09-28T15:29:16Z,MDExOlB1bGxSZXF1ZXN0ODcxNDM2Mjk=
https://github.com/ytdl-org/youtube-dl,2016-09-30T17:55:48Z,CLOSED,9,0,3,108,1803,2016-09-29T14:30:43Z,MDExOlB1bGxSZXF1ZXN0ODczMjQ2NDg=
https://github.com/ytdl-org/youtube-dl,2017-07-15T00:04:12Z,CLOSED,2,8,6,116,1554,2016-09-30T01:01:09Z,MDExOlB1bGxSZXF1ZXN0ODc0MTk1NDY=
https://github.com/ytdl-org/youtube-dl,2016-10-08T18:10:49Z,CLOSED,1,0,3,27,1402,2016-09-30T17:56:12Z,MDExOlB1bGxSZXF1ZXN0ODc1MzgwMzY=
https://github.com/ytdl-org/youtube-dl,2016-10-01T17:53:07Z,CLOSED,4,1,3,13,1387,2016-09-30T17:59:59Z,MDExOlB1bGxSZXF1ZXN0ODc1Mzg1NjI=
https://github.com/ytdl-org/youtube-dl,2016-10-19T19:16:24Z,MERGED,1,9,4,56,1846,2016-09-30T23:01:05Z,MDExOlB1bGxSZXF1ZXN0ODc1Nzg5NzY=
https://github.com/ytdl-org/youtube-dl,2016-10-02T12:19:34Z,MERGED,9,3,2,31,1287,2016-10-01T13:36:33Z,MDExOlB1bGxSZXF1ZXN0ODc2MDIyMjU=
https://github.com/ytdl-org/youtube-dl,2016-10-02T11:02:55Z,CLOSED,4,0,2,23,1287,2016-10-01T22:03:43Z,MDExOlB1bGxSZXF1ZXN0ODc2MTcxMjM=
https://github.com/ytdl-org/youtube-dl,2016-10-05T16:44:06Z,CLOSED,3,0,2,27,1740,2016-10-03T21:36:52Z,MDExOlB1bGxSZXF1ZXN0ODc3OTY1ODQ=
https://github.com/ytdl-org/youtube-dl,2016-10-15T19:31:56Z,MERGED,2,0,2,16,1162,2016-10-05T16:24:19Z,MDExOlB1bGxSZXF1ZXN0ODgxMTE0Njc=
https://github.com/ytdl-org/youtube-dl,2016-10-15T19:26:06Z,MERGED,3,1,3,70,1056,2016-10-06T11:54:14Z,MDExOlB1bGxSZXF1ZXN0ODgyNDczMzI=
https://github.com/ytdl-org/youtube-dl,2018-11-10T20:13:07Z,CLOSED,1,1,2,86,1582,2016-10-07T15:30:02Z,MDExOlB1bGxSZXF1ZXN0ODg0NTkzOTE=
https://github.com/ytdl-org/youtube-dl,2018-03-24T09:36:51Z,CLOSED,3,2,3,34,620,2016-10-08T14:01:09Z,MDExOlB1bGxSZXF1ZXN0ODg1NDY3NzY=
https://github.com/ytdl-org/youtube-dl,2016-10-15T19:12:03Z,MERGED,3,0,2,6,737,2016-10-08T20:20:34Z,MDExOlB1bGxSZXF1ZXN0ODg1NTc4Nzc=
https://github.com/ytdl-org/youtube-dl,2016-11-24T16:12:31Z,CLOSED,4,3,3,31,1346,2016-10-13T11:18:27Z,MDExOlB1bGxSZXF1ZXN0ODkxODIzMTM=
https://github.com/ytdl-org/youtube-dl,2016-10-15T06:56:42Z,MERGED,3,3,2,54,1444,2016-10-14T02:02:21Z,MDExOlB1bGxSZXF1ZXN0ODkzMTMxMzU=
https://github.com/ytdl-org/youtube-dl,2016-10-16T11:22:21Z,CLOSED,6,7,3,70,473,2016-10-15T03:34:28Z,MDExOlB1bGxSZXF1ZXN0ODk0ODAyMDU=
