nome,dono,url,id,pull_requests_merged,pull_requests_closed
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,14258,11693
996.ICU,996icu,https://github.com/996icu/996.ICU,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,1020,797
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,3436,1243
vue,vuejs,https://github.com/vuejs/vue,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,1020,765
react,facebook,https://github.com/facebook/react,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,7477,3130
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,226,315
awesome,sindresorhus,https://github.com/sindresorhus/awesome,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,531,1085
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,11806,5117
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,62,119
bootstrap,twbs,https://github.com/twbs/bootstrap,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,6783,5481
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,350,440
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,187,61
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,MDEwOlJlcG9zaXRvcnkyOTExMzc=,2418,3038
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,375,145
flutter,flutter,https://github.com/flutter/flutter,MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,19553,7420
public-apis,public-apis,https://github.com/public-apis/public-apis,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,962,331
gitignore,github,https://github.com/github/gitignore,MDEwOlJlcG9zaXRvcnkxMDYyODk3,1414,1912
vscode,microsoft,https://github.com/microsoft/vscode,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,6628,2337
linux,torvalds,https://github.com/torvalds/linux,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,9,431
javascript,airbnb,https://github.com/airbnb/javascript,MDEwOlJlcG9zaXRvcnk2NDk4NDky,759,480
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,198,122
build-your-own-x,danistefanovic,https://github.com/danistefanovic/build-your-own-x,MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,83,42
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,1510,2085
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,408,177
d3,d3,https://github.com/d3/d3,MDEwOlJlcG9zaXRvcnk5NDMxNDk=,436,666
awesome-python,vinta,https://github.com/vinta/awesome-python,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,523,857
react-native,facebook,https://github.com/facebook/react-native,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,617,8982
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl,MDEwOlJlcG9zaXRvcnkxMDM5NTIw,1508,2086
electron,electron,https://github.com/electron/electron,MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,11644,1607
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm,MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=,199,176
create-react-app,facebook,https://github.com/facebook/create-react-app,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,1865,1510
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,303,121
go,golang,https://github.com/golang/go,MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,0,1344
axios,axios,https://github.com/axios/axios,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,380,340
computer-science,ossu,https://github.com/ossu/computer-science,MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,188,116
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,269,132
node,nodejs,https://github.com/nodejs/node,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,3055,20988
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,47231,14705
deno,denoland,https://github.com/denoland/deno,MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,4527,1254
terminal,microsoft,https://github.com/microsoft/terminal,MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,1864,250
angular,angular,https://github.com/angular/angular,MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,2960,15327
30-seconds-of-code,30-seconds,https://github.com/30-seconds/30-seconds-of-code,MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,739,651
TypeScript,microsoft,https://github.com/microsoft/TypeScript,MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,10571,2188
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,1870,393
animate.css,animate-css,https://github.com/animate-css/animate.css,MDEwOlJlcG9zaXRvcnkyNTYxNTgy,231,249
three.js,mrdoob,https://github.com/mrdoob/three.js,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,8367,2710
models,tensorflow,https://github.com/tensorflow/models,MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,2151,1128
material-ui,mui-org,https://github.com/mui-org/material-ui,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,10425,2304
vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,313,141
next.js,vercel,https://github.com/vercel/next.js,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,6241,1570
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,183,405
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,713,288
laravel,laravel,https://github.com/laravel/laravel,MDEwOlJlcG9zaXRvcnkxODYzMzI5,1300,2628
awesome-go,avelino,https://github.com/avelino/awesome-go,MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,2354,884
nodebestpractices,goldbergyoni,https://github.com/goldbergyoni/nodebestpractices,MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,583,93
storybook,storybookjs,https://github.com/storybookjs/storybook,MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,5417,1404
moby,moby,https://github.com/moby/moby,MDEwOlJlcG9zaXRvcnk3NjkxNjMx,16700,4382
awesome-vue,vuejs,https://github.com/vuejs/awesome-vue,MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,3111,312
thefuck,nvbn,https://github.com/nvbn/thefuck,MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,429,88
angular.js,angular,https://github.com/angular/angular.js,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,787,7109
webpack,webpack,https://github.com/webpack/webpack,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,3608,949
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,1520,346
realworld,gothinkster,https://github.com/gothinkster/realworld,MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,173,36
django,django,https://github.com/django/django,MDEwOlJlcG9zaXRvcnk0MTY0NDgy,6424,7645
reveal.js,hakimel,https://github.com/hakimel/reveal.js,MDEwOlJlcG9zaXRvcnkxODYxNDU4,341,475
swift,apple,https://github.com/apple/swift,MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,32226,4193
redux,reduxjs,https://github.com/reduxjs/redux,MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,1398,726
FiraCode,tonsky,https://github.com/tonsky/FiraCode,MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,102,39
atom,atom,https://github.com/atom/atom,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,3800,1120
jquery,jquery,https://github.com/jquery/jquery,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,510,2160
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,41,4628
flask,pallets,https://github.com/pallets/flask,MDEwOlJlcG9zaXRvcnk1OTY4OTI=,1152,702
elasticsearch,elastic,https://github.com/elastic/elasticsearch,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,37703,6673
rust,rust-lang,https://github.com/rust-lang/rust,MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,33918,10991
opencv,opencv,https://github.com/opencv/opencv,MDEwOlJlcG9zaXRvcnk1MTA4MDUx,9641,2231
json-server,typicode,https://github.com/typicode/json-server,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,96,109
Chart.js,chartjs,https://github.com/chartjs/Chart.js,MDEwOlJlcG9zaXRvcnk4ODQzNjgz,2288,726
socket.io,socketio,https://github.com/socketio/socket.io,MDEwOlJlcG9zaXRvcnk1NTc5ODA=,393,373
PowerToys,microsoft,https://github.com/microsoft/PowerToys,MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,2275,286
express,expressjs,https://github.com/expressjs/express,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,211,757
netdata,netdata,https://github.com/netdata/netdata,MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,4210,481
shadowsocks-windows,shadowsocks,https://github.com/shadowsocks/shadowsocks-windows,MDEwOlJlcG9zaXRvcnk3NjAwNDA5,272,193
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,MDEwOlJlcG9zaXRvcnkxMTgxOTI3,10069,4627
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,132,39
hugo,gohugoio,https://github.com/gohugoio/hugo,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,1333,1684
keras,keras-team,https://github.com/keras-team/keras,MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,2417,1648
Apollo-11,chrislgarry,https://github.com/chrislgarry/Apollo-11,MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,295,87
httpie,httpie,https://github.com/httpie/httpie,MDEwOlJlcG9zaXRvcnkzNTQ0NDI0,144,127
Front-End-Checklist,thedaviddias,https://github.com/thedaviddias/Front-End-Checklist,MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,164,104
gatsby,gatsbyjs,https://github.com/gatsbyjs/gatsby,MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,14511,2798
element,ElemeFE,https://github.com/ElemeFE/element,MDEwOlJlcG9zaXRvcnk2NzI3NDczNg==,3097,1188
awesome-machine-learning,josephmisiti,https://github.com/josephmisiti/awesome-machine-learning,MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,671,37
clean-code-javascript,ryanmcdermott,https://github.com/ryanmcdermott/clean-code-javascript,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,145,69
html5-boilerplate,h5bp,https://github.com/h5bp/html5-boilerplate,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,457,780
Semantic-UI,Semantic-Org,https://github.com/Semantic-Org/Semantic-UI,MDEwOlJlcG9zaXRvcnk5MzA5MDkz,351,404
lodash,lodash,https://github.com/lodash/lodash,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,571,535
Front-end-Developer-Interview-Questions,h5bp,https://github.com/h5bp/Front-end-Developer-Interview-Questions,MDEwOlJlcG9zaXRvcnkzNDAyNTM3,365,162
redis,redis,https://github.com/redis/redis,MDEwOlJlcG9zaXRvcnkxNTYwMTg=,1806,1512
resume.github.com,resume,https://github.com/resume/resume.github.com,MDEwOlJlcG9zaXRvcnkxMzM0MzY5,84,84
rails,rails,https://github.com/rails/rails,MDEwOlJlcG9zaXRvcnk4NTE0,18032,8801
